city,level,index,pollutant,stations
Agartala,Good,46,"PM10, PM2.5",2
Agra,Satisfactory,53,"PM10, PM2.5",6
Ahmedabad,Satisfactory,72,"NO2, PM10",2
Aizawl,Good,24,PM10,1
Ajmer,Satisfactory,83,PM2.5,1
Alwar,Satisfactory,92,PM10,1
Amaravati,Good,37,PM2.5,1
Ambala,Moderate,184,PM2.5,1
Amritsar,Satisfactory,73,PM10,1
Anantapur,Good,44,PM10,1
Ankleshwar,Satisfactory,95,PM10,1
Araria,Satisfactory,90,PM2.5,1
Arrah,Satisfactory,71,NO2,1
Asansol,Moderate,118,PM10,1
Aurangabad (Bihar),Moderate,149,PM2.5,1
Aurangabad (Maharashtra),Satisfactory,91,PM10,1
Baddi,Moderate,114,PM10,1
Bagalkot,Good,46,PM10,1
Baghpat,Satisfactory,92,PM10,1
Bahadurgarh,Satisfactory,87,PM10,1
Ballabgarh,Moderate,122,PM10,1
Bareilly,Moderate,124,"PM10, PM2.5",2
Bathinda,Good,49,CO,1
Begusarai,Good,50,PM2.5,1
Bengaluru,Good,44,"CO, NO2, PM10",6
Bhagalpur,Satisfactory,88,PM10,2
Bhiwadi,Moderate,177,PM10,1
Bhiwani,Satisfactory,62,PM2.5,1
Bhopal,Satisfactory,87,PM10,1
Bihar Sharif,Satisfactory,65,PM2.5,1
Bilaspur,Satisfactory,55,PM10,1
Brajrajnagar,Good,50,CO,1
Bulandshahr,Moderate,129,PM10,1
Buxar,Poor,272,PM10,1
Chamarajanagar,Good,40,PM10,1
Chandigarh,Satisfactory,84,"O3, PM10",3
Chandrapur,Satisfactory,58,PM10,2
Charkhi Dadri,Moderate,105,PM10,1
Chennai,Satisfactory,73,"CO, PM10",8
Chhapra,Moderate,196,PM2.5,1
Chikkaballapur,Good,29,CO,1
Coimbatore,Good,32,"SO2, PM10",2
Damoh,Good,31,PM2.5,1
Darbhanga,Satisfactory,80,PM10,1
Davanagere,Good,15,PM10,1
Delhi,Moderate,133,"O3, PM10, PM2.5",35
Dewas,Satisfactory,73,PM10,1
Dharuhera,Poor,233,PM10,1
Durgapur,Satisfactory,68,PM10,1
Eloor,Satisfactory,55,PM10,1
Ernakulam,Good,45,CO,1
Faridabad,Moderate,181,"O3, PM10",4
Fatehabad,Satisfactory,80,PM10,1
Firozabad,Moderate,128,"O3, PM2.5",2
Gandhinagar,Satisfactory,70,PM10,1
Gangtok,Good,20,O3,1
Gaya,Moderate,140,"CO, PM2.5",3
Ghaziabad,Moderate,122,PM10,4
Gorakhpur,Good,50,PM2.5,1
Greater Noida,Moderate,146,PM10,2
Gummidipoondi,Good,22,PM2.5,1
Gurugram,Moderate,140,"PM10, PM2.5",3
Guwahati,Satisfactory,55,"O3, PM2.5",2
Gwalior,Satisfactory,66,O3,1
Hajipur,Good,50,PM10,1
Hapur,Moderate,116,PM10,1
Hassan,Good,34,NO2,1
Haveri,Satisfactory,60,CO,1
Hisar,Satisfactory,94,PM10,1
Hosur,Satisfactory,84,CO,1
Howrah,Satisfactory,81,"PM10, PM2.5",3
Hubballi,Satisfactory,53,CO,1
Hyderabad,Satisfactory,59,"CO, PM10, PM2.5",13
Imphal,Satisfactory,78,"O3, PM10",2
Indore,Moderate,112,PM10,1
Jabalpur,Satisfactory,71,PM10,1
Jaipur,Satisfactory,93,PM10,3
Jalandhar,Satisfactory,76,PM10,1
Jhansi,Satisfactory,78,PM10,1
Jodhpur,Moderate,120,PM10,1
Kaithal,Satisfactory,72,PM10,1
Kalaburgi,Good,29,SO2,1
Kalyan,Moderate,101,PM10,1
Kannur,Satisfactory,54,PM2.5,1
Kanpur,Satisfactory,74,"PM10, PM2.5",4
Karnal,Satisfactory,95,PM10,1
Katihar,Moderate,129,CO,1
Katni,Moderate,103,PM10,1
Khanna,Satisfactory,66,PM10,1
Khurja,Moderate,144,PM2.5,1
Kishanganj,Satisfactory,65,PM2.5,1
Kochi,Moderate,130,PM2.5,1
Kohima,Moderate,136,SO2,1
Kolkata,Satisfactory,73,"O3, PM10, PM2.5",7
Kollam,Satisfactory,58,PM10,1
Koppal,Good,49,O3,1
Kota,Satisfactory,98,PM10,1
Kozhikode,Satisfactory,71,PM10,1
Kurukshetra,Satisfactory,86,PM10,1
Lucknow,Satisfactory,94,"NO2, PM10, PM2.5",5
Ludhiana,Satisfactory,71,PM10,1
Madikeri,Good,20,O3,1
Maihar,Good,38,CO,1
Mandi Gobindgarh,Moderate,157,PM2.5,1
Mandideep,Satisfactory,66,PM10,1
Mandikhera,Satisfactory,77,PM10,1
Manesar,Moderate,126,PM10,1
Meerut,Moderate,124,PM10,3
Moradabad,Moderate,102,PM10,5
Motihari,Satisfactory,61,PM2.5,1
Mumbai,Satisfactory,68,"CO, PM10, PM2.5",17
Muzaffarnagar,Moderate,107,PM10,1
Muzaffarpur,Satisfactory,70,"O3, PM2.5",3
Mysuru,Good,30,PM10,1
Nagpur,Satisfactory,69,CO,1
Naharlagun,Good,22,SO2,1
Nandesari,Moderate,191,PM2.5,1
Narnaul,Satisfactory,52,PM2.5,1
Navi Mumbai,Satisfactory,90,"PM10, PM2.5",3
Noida,Moderate,124,PM10,4
Ooty,Good,47,SO2,1
Pali,Satisfactory,100,PM10,1
Palwal,Moderate,119,PM10,1
Panchkula,Satisfactory,62,PM2.5,1
Panipat,Good,50,PM10,1
Patiala,Satisfactory,64,PM10,1
Patna,Moderate,113,"PM10, PM2.5",6
Pithampur,Moderate,115,PM10,1
Prayagraj,Satisfactory,70,"PM10, PM2.5",3
Puducherry,Good,26,O3,1
Purnia,Moderate,103,PM10,1
Rajgir,Satisfactory,60,PM10,1
Ramanagara,Good,41,O3,1
Ramanathapuram,Good,27,PM10,1
Ratlam,Satisfactory,63,PM10,1
Rupnagar,Satisfactory,73,PM10,1
Sagar,Satisfactory,53,CO,1
Samastipur,Moderate,122,PM10,1
Sasaram,Satisfactory,76,PM10,1
Satna,Good,41,PM10,1
Shillong,Good,22,"SO2, PM2.5",2
Shivamogga,Good,48,PM10,1
Siliguri,Satisfactory,62,PM10,1
Singrauli,Moderate,104,PM10,1
Sirsa,Satisfactory,68,PM10,1
Siwan,Satisfactory,91,NO2,1
Solapur,Satisfactory,87,PM10,1
Sonipat,Moderate,119,PM10,1
Srinagar,Good,48,PM10,1
Talcher,Good,39,PM10,1
Thiruvananthapuram,Good,28,"CO, NO2",2
Thoothukudi,Good,26,PM10,1
Thrissur,Satisfactory,56,PM10,1
Tirupati,Good,47,CO,1
Udaipur,Satisfactory,94,PM10,1
Ujjain,Moderate,105,PM10,1
Varanasi,Satisfactory,68,PM10,4
Vatva,Satisfactory,94,PM10,1
Vijayapura,Good,40,PM10,1
Visakhapatnam,Moderate,107,PM10,1
Vrindavan,Satisfactory,68,PM10,1
Yadgir,Good,27,CO,1
Vellore,Good,46,CO,1
