city,level,index,pollutant,stations
Agartala,Poor,213,PM2.5,1
Agra,Satisfactory,86,PM10,6
Ahmedabad,Poor,211,"NO2, PM2.5",6
Ahmednagar,Satisfactory,87,O3,1
Aizawl,Good,29,PM10,1
Ajmer,Satisfactory,94,PM10,1
Akola,Moderate,110,PM10,1
Alwar,Moderate,123,PM10,1
Amaravati,Satisfactory,79,PM10,1
Amravati,Moderate,104,"PM10, PM2.5",2
Amritsar,Poor,263,PM2.5,1
Anantapur,Satisfactory,66,PM10,1
Angul,Poor,263,PM2.5,1
Ankleshwar,Poor,201,PM2.5,1
Araria,Poor,268,PM2.5,1
Arrah,Poor,253,PM2.5,1
Asansol,Poor,262,PM2.5,4
Aurangabad (Bihar),Poor,275,PM2.5,1
Aurangabad (Maharashtra),Moderate,131,"PM10, PM2.5",3
Baddi,Poor,300,PM2.5,1
Badlapur,Moderate,154,O3,1
Bagalkot,Good,46,PM10,1
Baghpat,Moderate,120,PM10,1
Balasore,Poor,258,PM2.5,1
Banswara,Satisfactory,88,O3,1
Baran,Moderate,109,PM10,1
Barbil,Poor,235,PM2.5,1
Bareilly,Satisfactory,58,PM2.5,1
Baripada,Moderate,174,PM2.5,1
Barmer,Satisfactory,93,PM10,1
Barrackpore,Very Poor,306,PM2.5,1
Begusarai,Moderate,171,PM2.5,1
Belapur,Poor,300,O3,1
Belgaum,Satisfactory,67,PM10,1
Bengaluru,Satisfactory,89,"PM10, PM2.5",10
Bettiah,Poor,294,PM10,1
Bhagalpur,Moderate,191,PM2.5,2
Bharatpur,Satisfactory,90,PM10,1
Bhilai,Moderate,113,"PM10, PM2.5",3
Bhilwara,Poor,268,PM2.5,1
Bhiwadi,Moderate,157,PM2.5,1
Bhiwandi,Moderate,142,PM2.5,1
Bhopal,Moderate,113,PM10,1
Bhubaneswar,Poor,228,"O3, PM2.5",2
Bileipada,Poor,204,PM2.5,1
Boisar,Moderate,111,PM10,1
Bulandshahr,Satisfactory,94,PM2.5,1
Bundi,Moderate,181,PM2.5,1
Buxar,Moderate,136,PM2.5,1
Byasanagar,Poor,215,PM2.5,1
Byrnihat,Severe,422,PM2.5,1
Chandigarh,Poor,297,PM2.5,3
Chandrapur,Moderate,137,PM10,1
Chennai,Satisfactory,73,PM10,7
Chhapra,Moderate,144,PM2.5,1
Chikkamagaluru,Satisfactory,60,PM10,1
Chittorgarh,Moderate,174,O3,1
Churu,Very Poor,311,PM2.5,1
Coimbatore,Satisfactory,83,PM10,1
Cuttack,Poor,259,PM2.5,1
Damoh,Satisfactory,56,PM2.5,1
Dausa,Poor,204,PM2.5,1
Dehradun,Poor,211,PM2.5,1
Delhi,Very Poor,327,PM2.5,31
Dewas,Moderate,109,PM2.5,1
Dhanbad,Poor,276,PM10,1
Dholpur,Moderate,139,PM10,1
Dhule,Moderate,105,PM10,1
Dindigul,Moderate,125,PM10,1
Dungarpur,Moderate,133,PM10,1
Durgapur,Poor,244,"O3, PM2.5",2
Eloor,Satisfactory,69,PM2.5,1
Faridabad,Moderate,151,PM2.5,2
Firozabad,Satisfactory,69,"PM10, PM2.5",2
Gadag,Satisfactory,78,PM10,1
Gandhinagar,Poor,206,PM2.5,2
Gaya,Moderate,153,PM2.5,2
Ghaziabad,Poor,215,PM2.5,3
Gorakhpur,Moderate,178,PM2.5,1
Greater Noida,Poor,222,"O3, PM2.5",2
Gummidipoondi,Moderate,112,PM2.5,1
Gurugram,Poor,203,"CO, PM2.5",2
Guwahati,Moderate,182,PM2.5,3
Gwalior,Moderate,173,PM2.5,3
Haldia,Poor,277,PM2.5,1
Hanumangarh,Moderate,147,PM2.5,1
Howrah,Poor,280,PM2.5,5
Hyderabad,Satisfactory,97,"PM10, PM2.5",12
Indore,Moderate,107,"PM10, PM2.5",4
Jabalpur,Moderate,120,"O3, PM10",4
Jaipur,Poor,211,PM2.5,5
Jaisalmer,Moderate,174,PM2.5,1
Jalandhar,Moderate,149,PM10,1
Jalgaon,Moderate,130,PM2.5,1
Jalna,Moderate,142,PM2.5,1
Jalore,Moderate,116,PM10,1
Jhalawar,Moderate,111,PM2.5,1
Jhansi,Satisfactory,85,PM10,1
Jhunjhunu,Poor,300,PM2.5,1
Jodhpur,Moderate,112,"O3, PM10",5
Kadapa,Satisfactory,92,O3,1
Kalaburagi,Moderate,105,PM10,1
Kalyan,Moderate,144,PM10,2
Kanchipuram,Good,37,PM10,1
Kannur,Satisfactory,59,PM10,1
Kanpur,Moderate,188,PM2.5,3
Karauli,Moderate,123,PM10,1
Karur,Satisfactory,95,PM10,1
Kashipur,Satisfactory,77,PM2.5,1
Katihar,Satisfactory,90,PM2.5,1
Katni,Moderate,138,PM2.5,1
Keonjhar,Moderate,138,PM10,1
Khanna,Satisfactory,62,PM2.5,1
Kishanganj,Poor,208,PM10,1
Kohima,Satisfactory,62,PM2.5,1
Kolar,Satisfactory,90,PM2.5,1
Kolhapur,Moderate,118,PM2.5,1
Kolkata,Poor,223,"PM10, PM2.5",5
Kollam,Satisfactory,96,PM10,1
Koppal,Satisfactory,59,PM10,1
Kota,Moderate,189,PM2.5,3
Kunjemura,Moderate,164,PM10,1
Latur,Moderate,149,PM2.5,1
