city,level,index,pollutant,stations
Agra,Good,48,PM10,5
Ahmedabad,Moderate,104,"O3, PM10, PM2.5",8
Ahmednagar,Moderate,179,O3,1
Aizawl,Satisfactory,91,PM10,1
Ajmer,Poor,266,O3,1
Akola,Satisfactory,99,PM10,1
Alwar,Satisfactory,68,PM10,1
Amaravati,Good,50,PM10,1
Amravati,Satisfactory,94,PM10,2
Amritsar,Satisfactory,79,PM10,1
Anantapur,Satisfactory,79,PM10,1
Angul,Moderate,120,PM10,1
Ankleshwar,Moderate,130,PM2.5,1
Araria,Moderate,134,PM2.5,1
Ariyalur,Satisfactory,65,PM10,1
Arrah,Satisfactory,89,PM10,1
Asansol,Poor,210,"PM10, PM2.5",4
Aurangabad (Bihar),Moderate,166,PM10,1
Aurangabad (Maharashtra),Satisfactory,88,PM10,3
Baddi,Moderate,104,PM10,1
Badlapur,Moderate,104,PM10,1
Baghpat,Moderate,134,PM10,1
Balasore,Moderate,159,PM2.5,1
Banswara,Moderate,161,O3,1
Baran,Satisfactory,89,PM10,1
Barbil,Moderate,135,PM10,1
Bareilly,Good,42,"SO2, PM10",2
Baripada,Moderate,126,PM2.5,1
Barmer,Moderate,119,PM10,1
Barrackpore,Moderate,185,PM2.5,1
Bathinda,Good,49,PM10,1
Begusarai,Moderate,153,PM2.5,1
Belapur,Moderate,132,PM10,1
Bengaluru,Satisfactory,91,PM10,13
Bettiah,Moderate,128,PM10,1
Bhagalpur,Satisfactory,58,"O3, PM10",2
Bharatpur,Satisfactory,97,O3,1
Bhilai,Satisfactory,57,"CO, PM10",3
Bhilwara,Moderate,133,PM2.5,1
Bhiwadi,Satisfactory,100,PM10,2
Bhiwandi,Moderate,141,PM2.5,1
Bhopal,Moderate,101,"O3, PM10",3
Bhubaneswar,Moderate,182,"O3, PM2.5",2
Bikaner,Moderate,136,PM10,1
Bilaspur,Good,49,PM10,1
Bileipada,Moderate,144,PM10,1
Boisar,Satisfactory,94,PM10,1
Brajrajnagar,Satisfactory,100,PM10,1
Bulandshahr,Moderate,148,PM10,1
Bundi,Satisfactory,99,PM10,1
Byasanagar,Poor,202,PM2.5,1
Byrnihat,Very Poor,324,PM2.5,1
Chamarajanagar,Good,45,PM10,1
Chandigarh,Satisfactory,94,"O3, PM10",3
Chandrapur,Moderate,124,PM10,2
Charkhi Dadri,Satisfactory,84,PM2.5,1
Chengalpattu,Satisfactory,69,PM10,1
Chennai,Satisfactory,83,PM10,8
Chhal,Satisfactory,67,PM10,1
Chikkaballapur,Satisfactory,80,PM10,1
Chikkamagaluru,Satisfactory,54,PM10,1
Chittoor,Moderate,103,PM2.5,1
Chittorgarh,Moderate,135,PM10,1
Churu,Moderate,125,PM10,1
Coimbatore,Satisfactory,92,"PM10, PM2.5",2
Cuddalore,Satisfactory,57,PM2.5,1
Cuttack,Poor,255,O3,1
Dausa,Moderate,145,PM10,1
Davanagere,Satisfactory,81,PM10,1
Dehradun,Satisfactory,73,PM10,1
Delhi,Moderate,134,"O3, PM10",36
Dewas,Satisfactory,85,PM10,1
Dhanbad,Moderate,169,PM10,1
Dharwad,Satisfactory,70,PM10,1
Dholpur,Satisfactory,77,O3,1
Dhule,Satisfactory,83,PM10,1
Dindigul,Satisfactory,78,PM10,1
Dungarpur,Moderate,117,PM2.5,1
Durgapur,Poor,240,"PM10, PM2.5",3
Eloor,Satisfactory,74,PM2.5,1
Faridabad,Moderate,132,"PM10, PM2.5",3
Firozabad,Satisfactory,62,PM10,1
Gadag,Good,49,O3,1
Gandhinagar,Satisfactory,83,"PM10, PM2.5",3
Gangtok,Poor,208,PM2.5,1
Gaya,Moderate,112,"PM10, PM2.5",3
Ghaziabad,Satisfactory,80,PM10,4
Gorakhpur,Moderate,113,PM10,1
Greater Noida,Satisfactory,96,PM10,2
Gummidipoondi,Moderate,171,PM2.5,1
Gurugram,Moderate,167,"PM10, PM2.5",3
Guwahati,Moderate,129,PM2.5,3
Gwalior,Moderate,108,"O3, PM2.5",2
Hajipur,Poor,235,PM2.5,1
Haldia,Satisfactory,84,PM10,1
Hanumangarh,Moderate,131,PM10,1
Hapur,Satisfactory,71,PM10,1
Hassan,Satisfactory,82,PM10,1
Haveri,Good,49,SO2,1
