city,level,index,pollutant,stations
Agartala,Moderate,181,"PM10, PM2.5",2
Agra,Moderate,103,PM2.5,6
Ahmedabad,Moderate,110,PM10,1
Aizawl,Good,26,PM10,1
Ajmer,Moderate,108,PM2.5,1
Alwar,Moderate,181,PM2.5,1
Amaravati,Moderate,128,PM2.5,1
Ambala,Moderate,157,PM2.5,1
Amritsar,Moderate,173,PM2.5,1
Anantapur,Satisfactory,66,O3,1
Ankleshwar,Satisfactory,69,SO2,1
Araria,Poor,228,PM2.5,1
Ariyalur,Satisfactory,86,PM2.5,1
Asansol,Poor,292,PM2.5,1
Aurangabad (Bihar),Very Poor,331,PM2.5,1
Aurangabad (Maharashtra),Moderate,197,PM2.5,1
Baddi,Poor,240,PM10,1
Bagalkot,Good,42,PM10,1
Bahadurgarh,Moderate,183,PM2.5,1
Ballabgarh,Poor,267,PM2.5,1
Bareilly,Moderate,106,PM10,2
Baripada,Poor,299,PM2.5,1
Bathinda,Moderate,119,PM2.5,1
Begusarai,Very Poor,358,PM2.5,1
Belgaum,Moderate,157,PM10,1
Bengaluru,Satisfactory,87,"CO, PM2.5",9
Bhagalpur,Very Poor,348,PM2.5,2
Bhilai,Moderate,114,PM2.5,2
Bhiwadi,Poor,203,PM2.5,1
Bhiwani,Very Poor,301,PM2.5,1
Bhopal,Moderate,170,PM2.5,2
Bidar,Satisfactory,90,CO,1
Bihar Sharif,Very Poor,331,PM2.5,1
Bileipada,Very Poor,319,PM2.5,1
Brajrajnagar,Moderate,117,PM10,1
Bulandshahr,Poor,241,PM2.5,1
Byrnihat,Very Poor,367,PM2.5,1
Chamarajanagar,Good,38,PM10,1
Chandigarh,Poor,278,PM2.5,2
Chandrapur,Very Poor,330,PM2.5,2
Charkhi Dadri,Poor,254,PM2.5,1
Chennai,Satisfactory,80,"SO2, PM2.5",8
Chhapra,Very Poor,334,PM2.5,1
Chikkaballapur,Satisfactory,97,PM10,1
Chikkamagaluru,Good,48,PM10,1
Chittoor,Satisfactory,74,O3,1
Coimbatore,Moderate,131,PM2.5,1
Damoh,Good,42,PM2.5,1
Darbhanga,Very Poor,331,PM2.5,1
Delhi,Very Poor,340,PM2.5,38
Dewas,Moderate,136,PM10,1
Dharuhera,Very Poor,310,PM2.5,1
Dindigul,Moderate,196,NO2,1
Durgapur,Moderate,133,PM10,1
Eloor,Satisfactory,68,PM10,1
Faridabad,Very Poor,337,PM2.5,4
Fatehabad,Poor,221,PM2.5,1
Firozabad,Moderate,106,PM10,2
Gadag,Moderate,102,PM10,1
Gandhinagar,Satisfactory,83,PM10,1
Gangtok,Good,38,PM10,1
Gaya,Poor,250,PM2.5,2
Ghaziabad,Very Poor,360,PM10,4
Gorakhpur,Moderate,109,PM10,1
Greater Noida,Very Poor,383,"PM10, PM2.5",2
Gummidipoondi,Poor,268,PM2.5,1
Gurugram,Poor,290,PM2.5,4
Guwahati,Poor,240,PM2.5,4
Gwalior,Very Poor,367,PM2.5,3
Hajipur,Moderate,173,PM10,1
Hapur,Moderate,145,PM2.5,1
Hassan,Satisfactory,59,PM10,1
Haveri,Satisfactory,85,PM10,1
Hosur,Satisfactory,98,CO,1
Howrah,Poor,234,PM2.5,3
Hubballi,Satisfactory,84,PM10,2
Hyderabad,Moderate,102,"PM10, PM2.5",14
Imphal,Moderate,128,"SO2, PM2.5",2
Indore,Moderate,118,PM10,1
Jabalpur,Very Poor,351,PM2.5,1
Jaipur,Moderate,150,PM2.5,3
Jhansi,Moderate,144,PM10,1
Jind,Moderate,188,PM2.5,1
Jodhpur,Moderate,125,PM10,1
Kaithal,Moderate,194,PM2.5,1
Kalaburgi,Satisfactory,68,PM2.5,1
Kalyan,Moderate,200,PM10,1
Kanchipuram,Satisfactory,71,PM10,1
Kanpur,Poor,215,PM2.5,4
Karnal,Moderate,159,PM2.5,1
Katihar,Very Poor,339,PM2.5,1
Katni,Poor,243,PM2.5,1
Keonjhar,Very Poor,328,PM2.5,1
Khanna,Satisfactory,83,PM10,1
Khurja,Moderate,170,PM2.5,1
Kishanganj,Poor,205,PM2.5,1
Kochi,Moderate,182,PM2.5,1
Kohima,Satisfactory,63,PM10,1
Kolkata,Poor,233,PM2.5,6
Kollam,Satisfactory,90,PM10,1
Koppal,Satisfactory,78,CO,1
Korba,Moderate,142,"PM10, PM2.5",2
Kota,Poor,275,PM2.5,1
Kurukshetra,Poor,252,PM2.5,1
Lucknow,Moderate,180,PM2.5,6
Ludhiana,Moderate,192,PM2.5,1
Madikeri,Good,44,O3,1
Maihar,Satisfactory,75,PM10,1
Mandi Gobindgarh,Poor,228,PM2.5,1
Mandideep,Moderate,105,SO2,1
Mandikhera,Moderate,112,PM10,1
Manesar,Poor,282,PM2.5,1
Mangalore,Satisfactory,97,PM10,1
Manguraha,Poor,257,PM2.5,1
Meerut,Poor,259,PM2.5,3
Moradabad,Moderate,116,PM2.5,6
Motihari,Moderate,135,PM10,1
Mumbai,Poor,223,"PM10, PM2.5",17
Munger,Poor,286,PM2.5,1
Muzaffarnagar,Poor,214,PM2.5,1
Muzaffarpur,Poor,289,PM2.5,3
Mysuru,Good,43,PM10,1
Nagpur,Very Poor,332,PM2.5,1
Naharlagun,Good,36,PM10,1
Nalbari,Very Poor,301,PM2.5,1
Nandesari,Satisfactory,79,PM2.5,1
Narnaul,Poor,209,PM2.5,1
Nashik,Moderate,104,PM2.5,1
Navi Mumbai,Very Poor,309,PM2.5,3
Nayagarh,Very Poor,307,PM2.5,1
Noida,Very Poor,349,PM2.5,4
Ooty,Satisfactory,71,PM2.5,1
Pali,Moderate,101,PM10,1
Palwal,Satisfactory,98,PM10,1
Panchkula,Poor,225,PM2.5,1
Panipat,Moderate,198,PM10,1
Patiala,Moderate,156,PM2.5,1
Patna,Very Poor,313,"PM10, PM2.5",6
Pithampur,Moderate,178,PM2.5,1
Prayagraj,Moderate,127,PM10,3
Puducherry,Satisfactory,76,PM10,1
Purnia,Poor,297,PM2.5,1
Raichur,Good,43,PM2.5,1
Raipur,Moderate,112,"PM10, PM2.5",4
Rairangpur,Very Poor,314,PM2.5,1
Rajamahendravaram,Moderate,161,PM2.5,1
Rajgir,Very Poor,340,PM2.5,1
Ramanagara,Satisfactory,81,PM2.5,1
Ramanathapuram,Satisfactory,64,PM10,1
Ratlam,Satisfactory,98,PM10,1
Rohtak,Moderate,181,PM2.5,1
Rourkela,Poor,286,PM2.5,1
Rupnagar,Moderate,119,PM10,1
Sagar,Satisfactory,92,"CO, PM2.5",2
Salem,Satisfactory,73,SO2,1
Sasaram,Very Poor,312,PM2.5,1
