city,level,index,pollutant,stations
Agartala,Good,45,PM10,1
Agra,Moderate,137,"PM10, PM2.5",5
Ahmedabad,Moderate,164,"PM10, PM2.5",8
Ahmednagar,Moderate,120,PM10,1
Ajmer,Moderate,128,PM10,1
Akola,Satisfactory,99,PM10,1
Alwar,Moderate,122,PM10,1
Amaravati,Poor,222,PM2.5,1
Ambala,Moderate,132,PM2.5,1
Amravati,Moderate,102,PM10,2
Amritsar,Satisfactory,76,PM10,1
Anantapur,Moderate,107,PM2.5,1
Angul,Very Poor,346,PM2.5,1
Ankleshwar,Moderate,179,PM2.5,1
Araria,Moderate,179,PM2.5,1
Arrah,Moderate,108,PM2.5,1
Asansol,Moderate,121,PM2.5,4
Aurangabad (Bihar),Moderate,126,PM10,1
Aurangabad (Maharashtra),Satisfactory,86,"O3, NO2",2
Baddi,Very Poor,315,PM2.5,1
Badlapur,Moderate,127,PM10,1
Bagalkot,Satisfactory,53,PM10,1
Baghpat,Poor,240,PM2.5,1
Balasore,Very Poor,388,PM2.5,1
Ballabgarh,Poor,280,PM2.5,1
Banswara,Moderate,169,O3,1
Baran,Moderate,114,PM10,1
Barbil,Moderate,188,PM2.5,1
Bareilly,Moderate,104,PM10,2
Baripada,Very Poor,330,PM2.5,1
Barmer,Moderate,140,PM10,1
Barrackpore,Poor,202,PM2.5,1
Bathinda,Satisfactory,94,PM2.5,1
Begusarai,Moderate,166,PM10,1
Belapur,Moderate,119,PM10,1
Belgaum,Satisfactory,94,PM10,1
Bengaluru,Moderate,115,"PM10, PM2.5",11
Bhagalpur,Satisfactory,78,"CO, PM2.5",2
Bharatpur,Moderate,102,PM2.5,1
Bhilai,Satisfactory,86,"PM10, PM2.5",3
Bhilwara,Poor,210,PM2.5,1
Bhiwadi,Very Poor,316,PM2.5,2
Bhiwandi,Moderate,151,PM2.5,1
Bhiwani,Moderate,146,PM2.5,1
Bhopal,Moderate,199,"O3, PM10, PM2.5",3
Bhubaneswar,Poor,290,PM2.5,2
Bikaner,Moderate,192,PM10,1
Bilaspur,Satisfactory,68,PM10,1
Bileipada,Moderate,139,PM10,1
Boisar,Moderate,117,PM2.5,1
Brajrajnagar,Moderate,133,PM10,1
Bulandshahr,Poor,254,PM2.5,1
Bundi,Poor,233,PM2.5,1
Buxar,Satisfactory,88,PM2.5,1
Byasanagar,Very Poor,301,PM2.5,1
Byrnihat,Moderate,129,PM2.5,1
Chamarajanagar,Good,46,PM10,1
Chandigarh,Poor,277,PM2.5,2
Chandrapur,Moderate,126,PM10,2
Chennai,Moderate,186,PM2.5,6
Chhal,Satisfactory,76,PM10,1
Chhapra,Moderate,129,PM10,1
Chikkamagaluru,Satisfactory,62,PM10,1
Chittoor,Satisfactory,93,PM2.5,1
Chittorgarh,Moderate,151,PM2.5,1
Churu,Moderate,187,PM2.5,1
Coimbatore,Poor,228,PM2.5,1
Cuddalore,Moderate,158,PM2.5,2
Cuttack,Very Poor,309,PM2.5,1
Damoh,Good,18,CO,1
Dausa,Moderate,138,PM2.5,1
Dehradun,Poor,250,PM2.5,1
Delhi,Very Poor,388,PM2.5,38
Dewas,Satisfactory,93,PM10,1
Dhanbad,Moderate,149,PM10,1
Dharuhera,Poor,286,PM2.5,1
Dholpur,Satisfactory,83,PM10,1
Dhule,Moderate,159,PM2.5,1
Dungarpur,Moderate,158,O3,1
Durgapur,Moderate,103,"PM10, PM2.5",3
Eloor,Moderate,155,PM2.5,1
Faridabad,Poor,243,PM2.5,3
Fatehabad,Moderate,191,PM10,1
Firozabad,Satisfactory,91,"PM10, PM2.5",2
Gandhinagar,Moderate,134,"PM10, PM2.5",3
Gaya,Satisfactory,90,"PM10, PM2.5",3
Ghaziabad,Severe,404,"PM10, PM2.5",4
Gorakhpur,Satisfactory,74,PM10,1
Greater Noida,Very Poor,366,PM2.5,2
Gummidipoondi,Very Poor,313,PM2.5,1
Gurugram,Poor,294,PM2.5,4
Guwahati,Satisfactory,51,"CO, PM10",3
Gwalior,Moderate,198,PM2.5,3
Hajipur,Poor,256,PM2.5,1
Haldia,Poor,261,PM2.5,1
Hanumangarh,Moderate,151,PM10,1
Hapur,Poor,287,PM2.5,1
Hisar,Satisfactory,94,PM10,1
Howrah,Moderate,176,"PM10, PM2.5",5
Hubballi,Satisfactory,58,PM10,1
Hyderabad,Satisfactory,99,"PM10, PM2.5",13
Indore,Moderate,124,"PM10, PM2.5",2
Jabalpur,Satisfactory,70,"PM10, PM2.5",4
Jaipur,Moderate,172,"PM10, PM2.5",6
Jaisalmer,Moderate,122,PM10,1
Jalandhar,Moderate,162,PM2.5,1
Jalgaon,Moderate,128,PM2.5,1
Jalna,Satisfactory,96,PM10,1
Jalore,Moderate,166,PM2.5,1
Jhalawar,Moderate,164,PM2.5,1
Jhansi,Satisfactory,86,PM2.5,1
Jhunjhunu,Moderate,148,PM10,1
Jind,Moderate,132,PM2.5,1
Jodhpur,Moderate,169,"PM10, PM2.5",5
Kalaburagi,Satisfactory,55,PM10,1
Kalyan,Moderate,166,PM10,2
Kannur,Satisfactory,73,PM10,1
Kanpur,Moderate,200,"PM10, PM2.5",3
Karauli,Satisfactory,90,PM2.5,1
Karnal,Poor,249,PM2.5,1
Karur,Moderate,152,PM2.5,1
Kashipur,Moderate,182,PM2.5,1
Katihar,Satisfactory,74,PM2.5,1
Katni,Moderate,192,PM2.5,1
Keonjhar,Moderate,123,PM10,1
Khanna,Moderate,106,PM10,1
Khurja,Poor,231,PM2.5,1
Kishanganj,Moderate,104,PM10,1
Kohima,Satisfactory,75,SO2,1
Kolhapur,Moderate,166,PM2.5,2
Kolkata,Moderate,170,PM2.5,7
Kollam,Very Poor,310,PM2.5,1
Koppal,Satisfactory,67,PM10,1
Korba,Satisfactory,81,"PM10, PM2.5",2
Kota,Poor,216,PM2.5,2
Kunjemura,Satisfactory,55,PM10,1
Kurukshetra,Poor,251,PM2.5,1
Latur,Satisfactory,98,PM2.5,1
Lucknow,Poor,202,PM2.5,6
Ludhiana,Moderate,110,PM10,1
Madikeri,Satisfactory,51,PM2.5,1
Mahad,Moderate,114,PM2.5,1
Malegaon,Moderate,134,PM10,1
Mandi Gobindgarh,Poor,214,PM2.5,1
Mandideep,Poor,208,PM2.5,1
Mandikhera,Moderate,102,PM2.5,1
Manesar,Poor,203,PM2.5,1
Manguraha,Satisfactory,94,PM10,1
Meerut,Very Poor,344,"PM10, PM2.5",3
Milupara,Satisfactory,81,PM10,1
Mira-Bhayandar,Moderate,131,PM10,1
Moradabad,Moderate,176,PM2.5,5
Motihari,Satisfactory,63,PM2.5,1
Mumbai,Moderate,136,PM2.5,24
Munger,Satisfactory,70,PM2.5,1
Muzaffarnagar,Poor,286,PM2.5,1
Muzaffarpur,Moderate,141,PM2.5,3
Mysuru,Satisfactory,81,PM10,1
Nagaon,Poor,211,PM2.5,1
Nagaur,Moderate,151,PM10,1
Nagpur,Moderate,132,"PM10, PM2.5",4
Naharlagun,Moderate,118,PM2.5,1
Nalbari,Satisfactory,99,PM2.5,1
Nanded,Moderate,122,PM2.5,1
Narnaul,Moderate,107,PM2.5,1
Nashik,Moderate,127,"PM10, PM2.5",4
Navi Mumbai,Moderate,146,"PM10, PM2.5",5
Noida,Very Poor,400,PM2.5,4
Pali,Moderate,172,PM2.5,1
Palwal,Moderate,103,PM10,1
Pampore,Satisfactory,73,PM10,1
Panchgaon,Satisfactory,68,PM2.5,1
Panchkula,Very Poor,399,PM2.5,1
Panipat,Poor,266,PM2.5,1
Parbhani,Moderate,121,PM2.5,1
Patiala,Moderate,137,PM2.5,1
