city,level,index,pollutant,stations
Agra,Satisfactory,96,PM2.5,1
Bengaluru,Moderate,154,"PM10, PM2.5",2
Chandrapur,Moderate,154,PM10,1
Chennai,Moderate,123,"O3, PM2.5",3
Delhi,Poor,213,"PM10, PM2.5",6
Faridabad,Moderate,111,PM2.5,1
Gaya,Satisfactory,61,PM2.5,1
Gurgaon,Moderate,146,PM2.5,1
Haldia,Moderate,108,PM10,1
Hyderabad,Satisfactory,90,"PM10, PM2.5",2
Jodhpur,Moderate,125,PM2.5,1
Kanpur,Moderate,132,PM2.5,1
Lucknow,Poor,255,PM2.5,2
Mumbai,Satisfactory,77,PM10,1
Muzaffarpur,Satisfactory,84,PM2.5,1
Patna,Moderate,112,PM2.5,1
Varanasi,Poor,299,PM10,1
