city,level,index,pollutant,stations
Agra,Satisfactory,59,"O3, PM10",6
Ahmedabad,Moderate,113,"O3, NO2, PM10",6
Ahmednagar,Poor,213,PM2.5,1
Aizawl,Satisfactory,68,PM10,1
Ajmer,Satisfactory,77,PM10,1
Akola,Moderate,125,PM10,1
Alwar,Satisfactory,82,PM10,1
Amaravati,Satisfactory,86,PM10,1
Amravati,Moderate,114,PM10,2
Amritsar,Satisfactory,86,PM10,1
Anantapur,Satisfactory,62,PM10,1
Angul,Moderate,165,NO2,1
Ankleshwar,Satisfactory,100,PM10,1
Araria,Moderate,159,PM2.5,1
Arrah,Satisfactory,83,PM10,1
Asansol,Moderate,131,"PM10, PM2.5",4
Aurangabad (Bihar),Moderate,148,PM10,1
Aurangabad (Maharashtra),Satisfactory,88,"O3, PM10",3
Baddi,Moderate,138,PM2.5,1
Badlapur,Moderate,118,PM10,1
Baghpat,Moderate,129,PM10,1
Balasore,Moderate,185,O3,1
Banswara,Satisfactory,100,O3,1
Baran,Satisfactory,97,O3,1
Barbil,Moderate,144,PM10,1
Bareilly,Good,42,"SO2, PM10",2
Baripada,Satisfactory,96,PM10,1
Barmer,Satisfactory,81,O3,1
Barrackpore,Moderate,173,PM10,1
Bathinda,Good,41,PM10,1
Begusarai,Poor,211,PM2.5,1
Belapur,Moderate,178,PM2.5,1
Bengaluru,Satisfactory,86,"PM10, PM2.5",12
Bettiah,Moderate,153,PM10,1
Bhagalpur,Moderate,106,"PM10, PM2.5",2
Bharatpur,Satisfactory,96,O3,1
Bhilai,Satisfactory,85,"NO2, PM10",3
Bhilwara,Moderate,127,PM10,1
Bhiwadi,Moderate,128,"PM10, PM2.5",2
Bhiwandi,Moderate,145,PM10,1
Bhopal,Moderate,110,"O3, PM10",3
Bhubaneswar,Moderate,174,"O3, PM10",2
Bikaner,Moderate,169,PM10,1
Bilaspur,Satisfactory,54,PM10,1
Bileipada,Moderate,111,PM10,1
Boisar,Moderate,120,PM10,1
Brajrajnagar,Satisfactory,79,PM10,1
Bulandshahr,Moderate,124,PM10,1
Bundi,Moderate,115,PM10,1
Buxar,Moderate,112,PM10,1
Byasanagar,Poor,201,O3,1
Byrnihat,Very Poor,304,PM2.5,1
Chamarajanagar,Good,45,PM10,1
Chandigarh,Moderate,102,"O3, PM10, PM2.5",3
Chandrapur,Satisfactory,99,PM10,2
Charkhi Dadri,Moderate,188,PM2.5,1
Chennai,Moderate,128,"PM10, PM2.5",8
Chhal,Good,49,PM2.5,1
Chhapra,Satisfactory,70,PM10,1
Chikkaballapur,Satisfactory,77,PM2.5,1
Chikkamagaluru,Good,43,PM2.5,1
Chittoor,Satisfactory,99,PM2.5,1
Chittorgarh,Moderate,118,PM10,1
Churu,Moderate,155,PM10,1
Coimbatore,Satisfactory,80,"PM10, PM2.5",2
Cuttack,Poor,232,O3,1
Damoh,Satisfactory,72,PM10,1
Dausa,Moderate,131,PM10,1
Davanagere,Satisfactory,78,PM10,1
Dehradun,Satisfactory,90,PM10,1
Delhi,Moderate,152,"O3, PM10, PM2.5",39
Dewas,Satisfactory,83,PM10,1
Dhanbad,Moderate,119,PM10,1
Dharwad,Satisfactory,66,PM10,1
Dholpur,Satisfactory,82,PM10,1
