city,level,index,pollutant,stations
Agartala,Poor,224,PM2.5,1
Agra,Satisfactory,60,"PM10, PM2.5",5
Ahmedabad,Moderate,125,"PM10, PM2.5",8
Ahmednagar,Moderate,108,PM10,1
Aizawl,Satisfactory,71,PM10,1
Akola,Moderate,107,PM10,1
Alwar,Satisfactory,72,PM10,1
Amaravati,Satisfactory,52,PM10,1
Ambala,Satisfactory,57,PM2.5,1
Amravati,Moderate,110,"O3, PM10",2
Anantapur,Satisfactory,85,PM10,1
Angul,Moderate,181,O3,1
Ankleshwar,Satisfactory,82,PM10,1
Araria,Moderate,129,PM10,1
Ariyalur,Satisfactory,59,PM10,1
Arrah,Satisfactory,89,PM10,1
Asansol,Satisfactory,98,PM10,1
Aurangabad (Bihar),Satisfactory,81,PM10,1
Aurangabad (Maharashtra),Moderate,101,PM10,3
Baddi,Moderate,135,PM2.5,1
Badlapur,Moderate,137,PM2.5,1
Bagalkot,Good,46,PM10,1
Baghpat,Satisfactory,80,PM10,1
Bahadurgarh,Moderate,181,PM2.5,1
Balasore,Moderate,130,PM10,1
Ballabgarh,Poor,214,PM2.5,1
Banswara,Moderate,129,PM10,1
Barbil,Moderate,157,PM10,1
Bareilly,Satisfactory,54,PM10,2
Baripada,Moderate,108,PM2.5,1
Barmer,Moderate,115,O3,1
Barrackpore,Moderate,148,PM10,1
Bathinda,Satisfactory,74,PM10,1
Belapur,Moderate,133,PM10,1
Belgaum,Satisfactory,62,PM10,1
Bengaluru,Moderate,133,"PM10, PM2.5",9
Bettiah,Moderate,133,PM2.5,1
Bhagalpur,Moderate,106,"PM10, PM2.5",2
Bhilai,Satisfactory,98,PM10,2
Bhilwara,Satisfactory,98,PM2.5,1
Bhiwadi,Moderate,107,"CO, PM10",2
Bhiwandi,Moderate,158,PM10,1
Bhiwani,Moderate,123,PM2.5,1
Bhopal,Satisfactory,99,"O3, PM10",3
Bhubaneswar,Moderate,120,O3,1
Bidar,Satisfactory,97,PM10,1
Bikaner,Moderate,129,PM10,1
Bilaspur,Satisfactory,55,PM10,1
Bileipada,Moderate,145,PM10,1
Brajrajnagar,Satisfactory,80,CO,1
Bulandshahr,Poor,202,O3,1
Bundi,Moderate,126,O3,1
Byasanagar,Moderate,160,O3,1
Chamarajanagar,Good,48,PM10,1
Chandigarh,Moderate,154,"O3, PM2.5",3
Chandrapur,Moderate,164,O3,1
Charkhi Dadri,Moderate,128,PM2.5,1
Chengalpattu,Satisfactory,52,PM2.5,1
Chennai,Satisfactory,78,"CO, PM2.5",6
Chhal,Satisfactory,74,PM10,1
Chikkaballapur,Moderate,124,PM2.5,1
Chittoor,Satisfactory,68,O3,1
Chittorgarh,Moderate,153,O3,1
Churu,Moderate,161,O3,1
Coimbatore,Satisfactory,72,PM2.5,1
Cuddalore,Satisfactory,82,PM10,1
Cuttack,Moderate,139,O3,1
Dausa,Moderate,123,PM10,1
Davanagere,Satisfactory,83,PM10,1
Dehradun,Satisfactory,85,PM10,1
