city,level,index,pollutant,stations
Agartala,Moderate,141,PM10,1
Agra,Moderate,124,"PM10, PM2.5",6
Ahmedabad,Poor,205,PM2.5,9
Aizawl,Good,38,PM10,1
Ajmer,Moderate,132,PM2.5,1
Akola,Moderate,117,PM10,1
Alwar,Moderate,101,PM10,1
Amaravati,Moderate,107,PM10,1
Ambala,Moderate,138,PM2.5,1
Amravati,Moderate,134,PM10,2
Amritsar,Poor,212,PM2.5,1
Angul,Poor,266,PM2.5,1
Ankleshwar,Poor,244,PM2.5,1
Araria,Poor,202,PM2.5,1
Ariyalur,Satisfactory,55,PM10,1
Arrah,Very Poor,317,PM2.5,1
Asansol,Poor,267,PM2.5,1
Aurangabad (Maharashtra),Moderate,165,PM2.5,3
Bagalkot,Good,36,PM10,1
Baghpat,Poor,250,PM2.5,1
Balasore,Poor,201,PM2.5,1
Ballabgarh,Poor,221,PM2.5,1
Banswara,Poor,208,PM2.5,1
Baran,Moderate,161,O3,1
Barbil,Moderate,195,PM10,1
Bareilly,Moderate,186,PM2.5,2
Baripada,Poor,235,PM2.5,1
Barmer,Moderate,113,PM10,1
Bathinda,Very Poor,383,PM10,1
Begusarai,Very Poor,303,PM10,1
Belapur,Satisfactory,57,O3,1
Belgaum,Satisfactory,51,PM10,1
Bengaluru,Satisfactory,79,"CO, PM10, PM2.5",12
Bettiah,Satisfactory,99,O3,1
Bhagalpur,Very Poor,316,PM2.5,2
Bharatpur,Poor,244,PM2.5,1
Bhilai,Moderate,124,PM10,2
Bhilwara,Moderate,182,PM2.5,1
Bhiwadi,Poor,284,PM10,1
Bhiwandi,Good,49,NO2,1
Bhiwani,Poor,218,PM2.5,1
Bhopal,Moderate,198,PM2.5,2
Bhubaneswar,Poor,234,PM2.5,2
Bidar,Moderate,140,PM2.5,1
Bihar Sharif,Moderate,162,PM10,1
Bikaner,Moderate,118,PM10,1
Bilaspur,Satisfactory,86,PM10,1
Bileipada,Poor,243,PM2.5,1
Brajrajnagar,Moderate,109,PM10,1
Bulandshahr,Moderate,175,PM2.5,1
Byasanagar,Moderate,156,PM2.5,1
Byrnihat,Poor,233,PM2.5,1
Chamarajanagar,Good,38,PM10,1
Chandigarh,Poor,230,PM2.5,3
Chandrapur,Moderate,146,PM2.5,1
Charkhi Dadri,Moderate,139,PM2.5,1
Chennai,Satisfactory,83,"PM10, PM2.5",7
Chhapra,Very Poor,366,PM2.5,1
Chikkaballapur,Good,41,PM10,1
Chikkamagaluru,Good,37,PM10,1
Chittoor,Moderate,130,PM2.5,1
Chittorgarh,Poor,224,PM2.5,1
