city,level,index,pollutant,stations
Agra,Satisfactory,54,PM2.5,1
Ahmedabad,Satisfactory,76,PM2.5,1
Ajmer,Moderate,141,PM10,1
Alwar,Moderate,158,PM2.5,1
Amaravati,Good,48,CO,1
Aurangabad,Satisfactory,66,PM10,1
Baghpat,Moderate,139,PM10,1
Bathinda,Satisfactory,68,PM10,1
Bengaluru,Good,46,"CO, NO2, PM10",10
Bhiwadi,Moderate,187,PM10,1
Brajrajnagar,Good,39,PM2.5,1
Bulandshahr,Satisfactory,85,PM10,1
Chandrapur,Satisfactory,84,PM10,2
Chennai,Satisfactory,58,"CO, PM2.5",2
Chikkaballapur,Good,43,NO2,1
Delhi,Moderate,117,"PM10, PM2.5",31
Dewas,Moderate,122,PM10,1
Durgapur,Good,43,NO2,1
Gaya,Satisfactory,76,NO2,1
Ghaziabad,Moderate,129,PM10,1
Greater Noida,Moderate,118,PM10,1
Haldia,Good,32,CO,1
Howrah,Good,26,PM10,2
Hyderabad,Satisfactory,71,"NO2, PM10, PM2.5",4
Jaipur,Moderate,180,"PM10, PM2.5",3
Jalandhar,Satisfactory,52,PM2.5,1
Jodhpur,Moderate,194,PM10,1
Jorapokhar,Moderate,119,PM10,1
Kanpur,Satisfactory,75,CO,1
Khanna,Good,39,PM10,1
Kolkata,Satisfactory,57,CO,1
Kota,Moderate,164,PM10,1
Lucknow,Satisfactory,79,"CO, PM2.5",3
Mandi Gobindgarh,Satisfactory,54,PM10,1
Mandideep,Moderate,103,PM10,1
Moradabad,Moderate,119,PM10,1
Mumbai,Satisfactory,88,PM10,1
Nagpur,Satisfactory,79,PM10,1
Nashik,Good,43,PM2.5,1
Navi Mumbai,Satisfactory,57,CO,1
Noida,Moderate,126,PM10,2
Pali,Poor,226,PM10,1
Patiala,Good,40,PM10,1
Patna,Satisfactory,99,NO2,1
Pithampur,Moderate,124,PM10,1
Pune,Good,49,CO,1
Rajamahendravaram,Good,43,PM10,1
Rohtak,Satisfactory,96,PM2.5,1
Rupnagar,Good,49,PM2.5,1
Satna,Satisfactory,75,CO,1
Siliguri,Good,31,PM10,1
Singrauli,Satisfactory,55,PM10,1
Solapur,Good,44,O3,1
Talcher,Moderate,108,CO,1
Thane,Satisfactory,91,NO2,1
Tirupati,Good,32,CO,1
Udaipur,Moderate,142,PM10,1
Ujjain,Moderate,127,PM10,1
Varanasi,Satisfactory,65,O3,1
Vijayawada,Good,45,PM10,1
