city,level,index,pollutant,stations
Agra,Poor,231,PM2.5,1
Ahmedabad,Moderate,155,NO2,1
Ajmer,Moderate,191,PM2.5,1
Alwar,Satisfactory,90,PM10,1
Amaravati,Moderate,113,PM2.5,1
Ambala,Moderate,137,PM10,1
Amritsar,Poor,245,PM2.5,1
Ankleshwar,Moderate,182,PM2.5,1
Asanol,Poor,203,PM2.5,1
Aurangabad,Satisfactory,80,PM2.5,1
Baghpat,Very Poor,313,PM2.5,1
Bahadurgarh,Very Poor,302,PM2.5,1
Ballabgarh,Very Poor,319,PM2.5,1
Bathinda,Moderate,103,CO,1
Bengaluru,Satisfactory,60,"CO, PM10",9
Bhiwadi,Very Poor,340,PM10,1
Bhiwani,Poor,288,PM2.5,1
Bhopal,Poor,233,PM2.5,1
Brajrajnagar,Moderate,110,PM10,1
Bulandshahr,Poor,253,PM2.5,1
Chandigarh,Moderate,142,PM2.5,1
Chandrapur,Moderate,118,PM10,2
Chennai,Satisfactory,66,PM2.5,2
Chikkaballapur,Good,38,O3,1
Damoh,Moderate,174,PM2.5,1
Delhi,Very Poor,357,PM2.5,35
Dewas,Moderate,182,O3,1
Dharuhera,Very Poor,332,PM2.5,1
Eloor,Good,37,CO,1
Faridabad,Very Poor,358,PM2.5,1
Fatehabad,Moderate,160,PM10,1
Gandhinagar,Satisfactory,95,PM2.5,1
Gaya,Moderate,188,PM2.5,1
Ghaziabad,Very Poor,347,PM2.5,3
Greater Noida,Very Poor,309,PM2.5,1
Gurugram,Very Poor,360,PM2.5,2
Guwahati,Moderate,118,PM2.5,1
Haldia,Satisfactory,93,PM10,1
Hapur,Poor,265,O3,1
Hisar,Poor,286,PM2.5,1
Howrah,Poor,217,PM2.5,3
Hubballi,Moderate,133,PM10,1
Hyderabad,Moderate,141,"PM10, PM2.5",6
Indore,Moderate,186,PM2.5,1
Jabalpur,Moderate,179,PM2.5,1
Jaipur,Moderate,185,"PM10, PM2.5",3
Jalandhar,Moderate,156,PM2.5,1
Jind,Very Poor,329,PM2.5,1
Jodhpur,Moderate,137,PM10,1
Jorapokhar,Moderate,175,PM2.5,1
Kaithal,Moderate,133,PM2.5,1
Kalaburagi,Moderate,111,PM2.5,1
Kalyan,Moderate,152,PM2.5,1
Kanpur,Severe,418,PM2.5,1
Karnal,Poor,212,PM2.5,1
Katni,Poor,273,PM2.5,1
Khanna,Moderate,116,PM10,1
Kolkata,Moderate,178,"O3, PM2.5",5
Kota,Poor,281,PM2.5,1
Kurukshetra,Moderate,195,PM2.5,1
Lucknow,Very Poor,305,PM2.5,4
Ludhiana,Moderate,159,PM10,1
Maihar,Satisfactory,71,PM10,1
Mandi Gobindgarh,Moderate,141,PM10,1
Mandideep,Poor,258,PM10,1
Mandikhera,Poor,286,PM2.5,1
Manesar,Very Poor,325,PM2.5,1
Meerut,Moderate,192,PM2.5,3
Moradabad,Poor,264,PM2.5,1
Mumbai,Moderate,151,"O3, PM2.5",9
Muzaffarpur,Poor,288,PM2.5,1
Mysuru,Satisfactory,56,PM10,1
Nagpur,Moderate,162,PM2.5,1
Narnaul,Poor,210,PM2.5,1
Nashik,Satisfactory,85,PM10,1
Navi Mumbai,Moderate,187,"O3, PM2.5",2
Noida,Very Poor,338,PM2.5,4
Pali,Moderate,114,PM2.5,1
Panchkula,Moderate,125,PM2.5,1
Panipat,Poor,292,PM2.5,1
Patiala,Moderate,116,PM10,1
Patna,Very Poor,306,PM2.5,1
Pithampur,Moderate,142,PM2.5,1
Pune,Moderate,140,PM2.5,1
Rajamahendravaram,Moderate,108,PM2.5,1
Ramanagara,Good,49,PM10,1
Ratlam,Moderate,148,PM2.5,1
Rohtak,Very Poor,326,PM2.5,1
Rupnagar,Moderate,153,PM2.5,1
Satna,Moderate,189,PM10,1
Siliguri,Moderate,114,PM10,1
Singrauli,Very Poor,318,PM2.5,1
Sirsa,Satisfactory,85,PM10,1
Solapur,Moderate,116,PM10,1
Sonipat,Poor,212,PM10,1
Talcher,Poor,224,PM10,1
Thane,Satisfactory,96,PM10,1
Thiruvananthapuram,Moderate,133,CO,1
Tirupati,Good,40,PM10,1
Udaipur,Poor,243,PM2.5,1
Ujjain,Moderate,199,O3,1
Vapi,Poor,258,PM2.5,1
Varanasi,Poor,212,PM2.5,1
Vatva,Moderate,194,PM2.5,1
Visakhapatnam,Moderate,111,PM2.5,1
Yadgir,Moderate,105,PM2.5,1
Yamunanagar,Poor,241,PM2.5,1
