city,level,index,pollutant,stations
Agartala,Moderate,120,PM2.5,1
Agra,Satisfactory,72,"O3, NO2, PM10",6
Ahmedabad,Moderate,154,"O3, PM2.5",7
Ahmednagar,Satisfactory,96,O3,1
Aizawl,Satisfactory,51,PM10,1
Ajmer,Satisfactory,99,PM10,1
Akola,Satisfactory,77,O3,1
Alwar,Satisfactory,86,PM10,1
Amaravati,Good,41,PM10,1
Ambala,Moderate,167,PM2.5,1
Amravati,Satisfactory,78,PM10,2
Amritsar,Moderate,164,PM2.5,1
Anantapur,Satisfactory,62,PM10,1
Angul,Moderate,180,O3,1
Araria,Moderate,102,PM10,1
Ariyalur,Good,45,PM2.5,1
Arrah,Satisfactory,99,PM10,1
Asansol,Moderate,186,O3,1
Aurangabad (Maharashtra),Satisfactory,93,"O3, PM10",3
Baddi,Moderate,194,O3,1
Badlapur,Satisfactory,69,PM2.5,1
Bagalkot,Good,46,PM10,1
Baghpat,Poor,240,PM10,1
Bahadurgarh,Poor,234,PM2.5,1
Balasore,Satisfactory,75,CO,1
Ballabgarh,Poor,215,PM2.5,1
Banswara,Moderate,151,O3,1
Baran,Moderate,153,O3,1
Barbil,Moderate,130,O3,1
Bareilly,Satisfactory,54,"CO, PM10",2
Baripada,Satisfactory,72,O3,1
Barmer,Satisfactory,79,PM10,1
Barrackpore,Satisfactory,59,PM10,1
Bathinda,Moderate,104,PM10,1
Belapur,Moderate,136,O3,1
Bengaluru,Satisfactory,66,"CO, PM10",10
Bettiah,Poor,209,NO2,1
Bhagalpur,Moderate,124,"PM10, PM2.5",2
Bharatpur,Moderate,194,O3,1
Bhilai,Satisfactory,78,"O3, PM10",3
Bhilwara,Satisfactory,89,O3,1
Bhiwadi,Poor,240,"PM10, PM2.5",2
Bhiwandi,Poor,209,O3,1
Bhiwani,Moderate,162,PM2.5,1
Bhopal,Satisfactory,89,O3,3
Bhubaneswar,Satisfactory,66,"O3, CO",2
Bihar Sharif,Satisfactory,80,PM10,1
Bikaner,Moderate,191,PM10,1
Bilaspur,Satisfactory,51,PM10,1
Bileipada,Moderate,140,PM10,1
Boisar,Satisfactory,97,PM10,1
Brajrajnagar,Satisfactory,83,CO,1
Bulandshahr,Moderate,179,O3,1
Bundi,Moderate,174,O3,1
Buxar,Poor,273,PM2.5,1
Byasanagar,Satisfactory,92,CO,1
Byrnihat,Very Poor,314,PM2.5,1
Chamarajanagar,Good,45,PM10,1
Chandigarh,Moderate,196,PM2.5,3
Chandrapur,Satisfactory,65,"PM10, PM2.5",2
Charkhi Dadri,Poor,220,PM2.5,1
Chennai,Satisfactory,62,"CO, PM10",6
Chhal,Satisfactory,75,O3,1
Chhapra,Poor,295,PM2.5,1
Chikkaballapur,Satisfactory,53,PM2.5,1
Chikkamagaluru,Good,46,PM10,1
Chittorgarh,Moderate,107,O3,1
Cuddalore,Good,26,"PM10, PM2.5",2
Cuttack,Good,50,PM10,1
Dausa,Moderate,166,O3,1
Davanagere,Good,39,PM10,1
Dehradun,Poor,202,O3,1
Delhi,Poor,243,PM10,38
Dewas,Satisfactory,53,O3,1
Dhanbad,Moderate,124,CO,2
Dharuhera,Moderate,196,PM2.5,1
Dharwad,Satisfactory,57,CO,1
Dholpur,Satisfactory,95,O3,1
Dungarpur,Satisfactory,75,O3,1
Durgapur,Moderate,166,PM2.5,2
Eloor,Satisfactory,71,CO,1
Faridabad,Poor,250,PM2.5,4
Firozabad,Satisfactory,56,PM10,2
Gandhinagar,Satisfactory,78,PM10,1
Gangtok,Satisfactory,61,O3,1
Gaya,Satisfactory,96,"PM10, PM2.5",3
Ghaziabad,Poor,218,"PM10, PM2.5",4
Greater Noida,Very Poor,336,PM10,2
Gummidipoondi,Good,43,PM10,1
Gurugram,Poor,234,"PM10, PM2.5",4
Guwahati,Moderate,101,"PM10, PM2.5",4
Gwalior,Moderate,139,"O3, PM2.5",4
Haldia,Good,28,O3,1
Hanumangarh,Moderate,183,PM2.5,1
Hapur,Moderate,179,PM2.5,1
Hassan,Moderate,120,SO2,1
Haveri,Satisfactory,72,O3,1
Hisar,Poor,249,O3,1
Howrah,Satisfactory,66,PM10,3
Hubballi,Satisfactory,71,O3,1
Hyderabad,Satisfactory,76,"O3, PM10",9
Imphal,Satisfactory,100,SO2,2
Indore,Satisfactory,62,"O3, NO2",3
Jabalpur,Moderate,114,O3,4
Jaipur,Moderate,124,"O3, PM10",6
Jaisalmer,Poor,223,PM10,1
Jalandhar,Moderate,142,PM2.5,1
Jalgaon,Moderate,102,PM10,1
Jalore,Moderate,118,O3,1
Jhalawar,Moderate,103,O3,1
Jhunjhunu,Moderate,136,PM10,1
Jind,Moderate,108,PM10,1
Jodhpur,Moderate,102,PM10,5
Kadapa,Good,43,O3,1
Kaithal,Moderate,154,PM10,1
Kalyan,Satisfactory,98,PM10,1
Kannur,Satisfactory,71,PM10,1
Kanpur,Moderate,149,"O3, PM10",3
Karauli,Moderate,169,O3,1
Karnal,Moderate,175,PM2.5,1
Karwar,Good,42,PM10,1
Kashipur,Moderate,119,O3,1
Katihar,Satisfactory,76,PM10,1
Katni,Satisfactory,94,O3,1
Keonjhar,Satisfactory,65,PM10,1
Khanna,Moderate,123,PM2.5,1
Kishanganj,Moderate,143,PM10,1
Kohima,Satisfactory,88,PM2.5,1
Kolar,Satisfactory,58,PM10,1
Kolhapur,Satisfactory,98,O3,2
Kolkata,Satisfactory,60,"O3, NO2, PM10",7
Kollam,Satisfactory,58,PM2.5,1
Koppal,Satisfactory,56,CO,1
Korba,Satisfactory,68,"NO2, PM10",2
Kota,Moderate,122,"O3, PM2.5",3
Kunjemura,Satisfactory,87,PM10,1
Kurukshetra,Poor,221,PM2.5,1
Latur,Satisfactory,66,O3,1
Lucknow,Moderate,157,PM2.5,6
Ludhiana,Poor,208,PM2.5,1
Madikeri,Good,38,O3,1
Mahad,Satisfactory,97,PM2.5,1
Malegaon,Moderate,136,PM10,1
Mandi Gobindgarh,Moderate,178,PM2.5,1
Mandideep,Moderate,128,PM10,1
Mandikhera,Moderate,104,PM10,1
Manesar,Poor,216,PM2.5,1
Mangalore,Satisfactory,52,PM10,1
Manguraha,Good,50,PM10,1
Meerut,Poor,215,"PM10, PM2.5",3
Milupara,Satisfactory,70,PM10,1
Mira-Bhayandar,Moderate,155,O3,1
Moradabad,Moderate,140,"O3, PM10",6
Motihari,Moderate,120,PM10,1
Mumbai,Moderate,137,O3,24
Muzaffarnagar,Very Poor,340,PM2.5,1
Muzaffarpur,Moderate,196,PM2.5,3
Nagaon,Satisfactory,88,PM10,1
Nagpur,Satisfactory,87,"O3, PM10",3
Naharlagun,Good,31,PM10,1
Nalbari,Moderate,116,PM10,1
Nanded,Satisfactory,77,O3,1
Nandesari,Moderate,125,PM2.5,1
Narnaul,Moderate,137,PM2.5,1
Nashik,Satisfactory,78,O3,2
