city,level,index,pollutant,stations
Agartala,Satisfactory,68,PM2.5,1
Agra,Moderate,122,PM10,6
Ahmedabad,Moderate,198,"PM10, PM2.5",7
Ahmednagar,Moderate,164,O3,1
Ajmer,Moderate,121,PM10,1
Akola,Moderate,108,PM10,1
Alwar,Moderate,144,O3,1
Amaravati,Satisfactory,76,PM10,1
Ambala,Moderate,102,PM2.5,1
Ambernath,Moderate,157,PM10,1
Amravati,Moderate,108,"O3, PM10",2
Amritsar,Satisfactory,83,PM10,1
Anantapur,Moderate,108,PM10,1
Angul,Moderate,154,O3,1
Ankleshwar,Moderate,146,PM10,1
Araria,Satisfactory,58,CO,1
Arrah,Satisfactory,77,PM2.5,1
Asansol,Satisfactory,97,"PM10, PM2.5",4
Aurangabad (Bihar),Satisfactory,93,CO,1
Aurangabad (Maharashtra),Moderate,117,"PM10, PM2.5",3
Baddi,Moderate,150,O3,1
Badlapur,Moderate,123,PM10,1
Bagalkot,Good,46,PM10,1
Bahadurgarh,Poor,241,PM2.5,1
Balasore,Satisfactory,99,O3,1
Ballabgarh,Poor,211,PM10,1
Banswara,Moderate,124,PM10,1
Baran,Moderate,152,O3,1
Barbil,Poor,271,PM2.5,1
Bareilly,Satisfactory,70,"SO2, PM10",2
Baripada,Satisfactory,88,PM10,1
Barmer,Poor,222,PM10,1
Barrackpore,Good,45,PM10,1
Bathinda,Satisfactory,79,CO,1
Begusarai,Satisfactory,95,PM10,1
Belapur,Satisfactory,98,PM10,1
Bengaluru,Moderate,120,"O3, PM10, PM2.5",10
Bhagalpur,Moderate,110,"CO, PM10",2
Bharatpur,Moderate,119,O3,1
Bhavnagar,Moderate,121,PM10,1
Bhilai,Satisfactory,52,"PM10, PM2.5",3
Bhilwara,Moderate,171,PM10,1
Bhiwadi,Moderate,192,PM2.5,2
Bhiwandi,Moderate,117,PM10,1
Bhiwani,Satisfactory,99,PM2.5,1
Bhopal,Moderate,131,"O3, PM10",3
Bhubaneswar,Satisfactory,84,CO,2
Bihar Sharif,Satisfactory,57,CO,1
Bikaner,Moderate,128,PM10,1
Bilaspur,Satisfactory,96,PM10,1
Bileipada,Very Poor,379,PM10,1
Boisar,Moderate,113,PM10,1
Brajrajnagar,Poor,204,PM2.5,1
Bulandshahr,Moderate,125,PM10,1
Bundi,Moderate,104,O3,1
Buxar,Satisfactory,65,PM2.5,1
Byasanagar,Satisfactory,72,PM10,1
Byrnihat,Moderate,144,PM2.5,1
Chamarajanagar,Good,48,PM10,1
Chandigarh,Satisfactory,81,O3,1
Chandrapur,Moderate,166,"O3, PM10",2
Charkhi Dadri,Satisfactory,100,PM2.5,1
Chennai,Satisfactory,59,"PM10, PM2.5",7
Chhal,Moderate,134,PM2.5,1
Chhapra,Satisfactory,89,PM10,1
Chikkaballapur,Moderate,122,PM2.5,1
Chittoor,Good,47,PM2.5,1
Chittorgarh,Moderate,103,PM10,1
Churu,Moderate,112,PM10,1
Coimbatore,Satisfactory,68,"PM10, PM2.5",2
Cuttack,Satisfactory,90,PM10,1
Damoh,Moderate,125,PM10,1
Dausa,Moderate,103,O3,1
Dehradun,Satisfactory,94,PM10,1
Delhi,Moderate,153,"O3, PM10, PM2.5",44
Dewas,Moderate,117,PM10,1
Dhanbad,Moderate,127,PM10,1
Dharuhera,Satisfactory,97,PM2.5,1
Dharwad,Moderate,131,PM10,1
Dholpur,Moderate,106,PM10,1
