city,level,index,pollutant,stations
Agra,Satisfactory,80,"PM10, PM2.5",6
Ahmedabad,Satisfactory,65,"PM10, PM2.5",8
Ahmednagar,Good,36,PM2.5,1
Aizawl,Satisfactory,68,PM10,1
Ajmer,Good,46,PM10,1
Akola,Good,34,PM10,1
Amaravati,Satisfactory,51,CO,1
Ambala,Moderate,117,PM10,1
Amravati,Good,43,PM10,2
Amritsar,Satisfactory,98,PM10,1
Anantapur,Good,50,PM2.5,1
Angul,Satisfactory,81,PM10,1
Araria,Moderate,138,PM2.5,1
Ariyalur,Good,34,PM10,1
Arrah,Moderate,160,O3,1
Asansol,Moderate,143,PM2.5,4
Aurangabad (Bihar),Moderate,118,PM10,1
Aurangabad (Maharashtra),Good,42,"O3, PM10",3
Baddi,Moderate,171,O3,1
Badlapur,Satisfactory,70,PM10,1
Bagalkot,Good,40,PM10,1
Baghpat,Moderate,151,PM10,1
Bahadurgarh,Poor,237,PM2.5,1
Balasore,Satisfactory,65,PM10,1
Ballabgarh,Moderate,166,PM10,1
Banswara,Good,41,O3,1
Baran,Satisfactory,73,PM10,1
Barbil,Moderate,106,PM10,1
Bareilly,Good,48,PM10,1
Baripada,Satisfactory,96,PM10,1
Barmer,Satisfactory,89,O3,1
Barrackpore,Moderate,131,PM2.5,1
Bathinda,Moderate,172,PM10,1
Begusarai,Good,42,CO,1
Belgaum,Good,40,PM10,1
Bengaluru,Good,48,"O3, CO",10
Bettiah,Moderate,191,PM2.5,1
Bhagalpur,Moderate,137,"PM10, PM2.5",2
Bharatpur,Moderate,168,O3,1
Bhilai,Satisfactory,76,PM10,3
Bhilwara,Satisfactory,59,PM2.5,1
Bhiwadi,Poor,230,PM2.5,2
Bhiwandi,Satisfactory,59,PM10,1
Bhiwani,Moderate,169,PM2.5,1
Bhopal,Satisfactory,72,"O3, PM2.5",2
Bhubaneswar,Good,46,PM10,2
Bidar,Good,39,PM10,1
Bihar Sharif,Satisfactory,98,PM10,1
Bikaner,Moderate,102,PM10,1
Bilaspur,Satisfactory,56,PM2.5,1
Bileipada,Moderate,147,PM10,1
Boisar,Good,39,PM10,1
Brajrajnagar,Satisfactory,58,PM10,1
Bulandshahr,Moderate,150,PM2.5,1
Bundi,Satisfactory,71,PM10,1
Buxar,Moderate,137,PM2.5,1
Byasanagar,Good,47,PM10,1
Byrnihat,Moderate,126,PM2.5,1
Chamarajanagar,Good,48,PM10,1
Chandigarh,Moderate,107,"PM10, PM2.5",3
Chandrapur,Satisfactory,57,PM10,1
Charkhi Dadri,Moderate,157,PM2.5,1
Chennai,Good,36,"CO, PM10, PM2.5",8
Chhal,Moderate,142,PM2.5,1
Chhapra,Satisfactory,99,PM10,1
Chikkaballapur,Good,28,PM10,1
Chikkamagaluru,Good,34,PM10,1
Chittoor,Good,26,CO,1
Chittorgarh,Good,39,PM10,1
Churu,Moderate,118,PM10,1
Coimbatore,Good,40,PM10,2
Cuddalore,Good,22,"O3, PM2.5",2
Cuttack,Good,49,PM10,1
Damoh,Satisfactory,97,PM10,1
Dausa,Satisfactory,92,PM10,1
Dehradun,Satisfactory,64,PM10,1
Delhi,Poor,234,"PM10, PM2.5",34
Dewas,Satisfactory,70,PM2.5,1
Dharuhera,Poor,251,PM2.5,1
Dholpur,Satisfactory,57,O3,1
Dhule,Good,38,PM10,1
Dindigul,Good,22,PM2.5,1
Dungarpur,Good,50,O3,1
Durgapur,Moderate,164,PM2.5,3
Eloor,Good,46,PM2.5,1
Faridabad,Moderate,180,"CO, PM10, PM2.5",3
Fatehabad,Moderate,129,PM2.5,1
Firozabad,Satisfactory,70,"PM10, PM2.5",2
Gadag,Good,40,PM10,1
Gandhinagar,Good,43,PM10,2
Gangtok,Good,34,O3,1
Gaya,Moderate,111,"PM10, PM2.5",3
Ghaziabad,Poor,271,PM2.5,4
Gorakhpur,Moderate,149,PM2.5,1
Greater Noida,Poor,274,"PM10, PM2.5",2
Gummidipoondi,Satisfactory,60,PM2.5,1
Gurugram,Moderate,108,PM2.5,2
Guwahati,Satisfactory,55,"PM10, PM2.5",4
Gwalior,Moderate,103,PM10,3
Hajipur,Moderate,188,PM2.5,1
Haldia,Satisfactory,91,PM2.5,1
Hanumangarh,Moderate,126,PM10,1
Hapur,Poor,265,PM2.5,1
Hisar,Moderate,144,PM2.5,1
Howrah,Moderate,138,PM2.5,4
Hubballi,Good,42,CO,1
Hyderabad,Satisfactory,64,PM10,13
Imphal,Moderate,103,SO2,1
Indore,Satisfactory,67,"NO2, SO2, PM10",3
Jabalpur,Moderate,118,"PM10, PM2.5",4
Jaipur,Moderate,126,"PM10, PM2.5",5
Jaisalmer,Moderate,104,PM10,1
Jalandhar,Satisfactory,81,PM10,1
Jalgaon,Good,39,PM10,1
Jalore,Satisfactory,62,PM10,1
Jhalawar,Good,48,O3,1
Jhansi,Good,46,PM10,1
Jhunjhunu,Moderate,121,PM10,1
Jodhpur,Satisfactory,72,"O3, NO2, PM10",5
Kadapa,Satisfactory,54,CO,1
Kaithal,Moderate,150,PM2.5,1
Kalaburagi,Good,30,"CO, SO2",2
Kalyan,Good,50,PM10,1
Kanpur,Satisfactory,97,"PM10, PM2.5",3
Karauli,Moderate,120,PM2.5,1
Karnal,Moderate,151,PM2.5,1
Karur,Good,39,PM10,1
Karwar,Good,22,O3,1
Kashipur,Moderate,108,PM10,1
Katihar,Moderate,179,PM2.5,1
Katni,Satisfactory,72,PM10,1
Keonjhar,Satisfactory,70,PM2.5,1
Khanna,Satisfactory,98,PM2.5,1
Khurja,Moderate,180,PM2.5,1
Kishanganj,Moderate,103,PM10,1
Kohima,Satisfactory,77,PM10,1
Kolhapur,Satisfactory,72,PM10,2
Kolkata,Moderate,134,PM2.5,7
Kollam,Good,49,PM10,1
Korba,Satisfactory,84,"PM10, PM2.5",2
Kota,Satisfactory,97,"PM10, PM2.5",3
Kunjemura,Moderate,108,PM10,1
Kurukshetra,Moderate,172,PM2.5,1
Latur,Good,33,O3,1
Lucknow,Satisfactory,91,"PM10, PM2.5",4
Ludhiana,Satisfactory,99,PM2.5,1
Madikeri,Good,26,PM10,1
Madurai,Good,32,PM10,1
Mahad,Satisfactory,54,PM2.5,1
Malegaon,Good,45,PM10,1
Mandi Gobindgarh,Moderate,144,PM2.5,1
Mandideep,Satisfactory,71,PM10,1
Mandikhera,Moderate,117,PM2.5,1
Manesar,Moderate,200,PM2.5,1
Mangalore,Good,49,PM10,1
Manguraha,Moderate,105,PM10,1
Meerut,Poor,228,PM2.5,3
Milupara,Satisfactory,97,PM2.5,1
Moradabad,Moderate,120,"PM10, PM2.5",6
Mumbai,Satisfactory,67,O3,22
Muzaffarnagar,Moderate,144,PM10,1
Muzaffarpur,Poor,224,PM2.5,2
Mysuru,Good,40,PM10,1
Nagaon,Good,49,CO,1
Nagaur,Satisfactory,73,PM10,1
Nagpur,Satisfactory,66,"PM10, PM2.5",4
Naharlagun,Good,47,PM10,1
Nalbari,Satisfactory,62,PM2.5,1
Nanded,Satisfactory,51,PM10,1
Narnaul,Satisfactory,71,PM2.5,1
Nashik,Good,37,"O3, PM10, PM2.5",3
Navi Mumbai,Satisfactory,57,"O3, CO, PM10",7
Nayagarh,Good,41,PM10,1
Noida,Poor,268,"PM10, PM2.5",4
Pali,Satisfactory,66,PM10,1
Palkalaiperur,Good,18,PM10,1
Palwal,Satisfactory,76,PM10,1
Panchkula,Satisfactory,88,PM2.5,1
Panipat,Satisfactory,96,PM2.5,1
Parbhani,Satisfactory,57,PM10,1
Patiala,Moderate,118,PM10,1
Patna,Moderate,186,PM2.5,5
Pimpri-Chinchwad,Good,50,"CO, PM10",4
Pithampur,Satisfactory,72,PM10,1
Pratapgarh,Satisfactory,56,PM2.5,1
Prayagraj,Satisfactory,71,"PM10, PM2.5",3
Puducherry,Good,39,CO,1
Pudukottai,Good,36,PM10,1
Pune,Satisfactory,64,"CO, PM10",8
Purnia,Moderate,128,PM2.5,1
Raichur,Moderate,109,CO,1
Raipur,Satisfactory,51,PM10,3
Rairangpur,Moderate,102,PM2.5,1
Rajamahendravaram,Good,42,CO,1
Rajsamand,Satisfactory,63,O3,1
Ramanagara,Good,37,CO,1
Ramanathapuram,Good,14,SO2,1
Ratlam,Satisfactory,64,PM10,1
Rishikesh,Satisfactory,68,PM10,1
Rohtak,Satisfactory,54,PM2.5,1
Rourkela,Moderate,109,"PM10, PM2.5",3
Rupnagar,Moderate,122,PM10,1
Sagar,Satisfactory,90,"O3, PM10",2
Saharsa,Moderate,118,PM10,1
Salem,Good,40,PM10,1
Samastipur,Moderate,102,CO,1
Sasaram,Satisfactory,58,CO,1
Satna,Satisfactory,69,PM10,1
Sawai Madhopur,Satisfactory,76,PM10,1
Shivamogga,Good,35,PM10,1
Sikar,Satisfactory,97,PM10,1
Silchar,Satisfactory,61,PM2.5,1
Siliguri,Satisfactory,69,PM10,1
Singrauli,Moderate,182,PM10,1
Sirohi,Good,42,O3,1
Sivasagar,Good,47,PM10,1
Siwan,Moderate,145,NO2,1
Solapur,Satisfactory,56,"O3, PM10",3
Sonipat,Satisfactory,62,PM10,1
Sri Ganganagar,Satisfactory,86,O3,1
Suakati,Satisfactory,68,O3,1
Talcher,Satisfactory,90,CO,1
Tensa,Satisfactory,72,PM10,1
Thane,Satisfactory,57,"O3, PM2.5",3
Thanjavur,Good,30,PM10,1
Thiruvananthapuram,Good,45,"NO2, PM10",2
Thoothukudi,Good,41,O3,1
Tirunelveli,Good,41,CO,1
Tirupati,Satisfactory,64,"CO, PM2.5",2
Tirupur,Good,42,CO,1
Tonk,Moderate,101,PM10,1
Tumakuru,Satisfactory,60,PM10,1
Udaipur,Satisfactory,78,PM10,1
Udupi,Good,30,CO,1
Ujjain,Satisfactory,81,NO2,1
Ulhasnagar,Satisfactory,62,PM10,1
Vapi,Good,28,SO2,1
Varanasi,Satisfactory,74,"PM10, PM2.5",4
Vatva,Satisfactory,68,PM10,1
Vellore,Good,27,PM10,1
Vijayapura,Good,39,PM10,1
Vijayawada,Good,47,"O3, PM10",3
Virar,Good,37,PM10,1
Virudhunagar,Good,30,PM10,1
Visakhapatnam,Good,37,NO2,1
Vrindavan,Moderate,101,PM10,1
Yadgir,Good,20,CO,1
Yamuna Nagar,Moderate,132,PM2.5,1
