city,level,index,pollutant,stations
Agartala,Moderate,114,PM2.5,1
Agra,Moderate,117,PM2.5,4
Ahmedabad,Satisfactory,72,"CO, PM10",6
Aizawl,Good,17,PM10,1
Ajmer,Good,45,O3,1
Alwar,Satisfactory,72,PM10,1
Amaravati,Satisfactory,93,PM2.5,1
Ambala,Poor,258,PM2.5,1
Amritsar,Moderate,143,PM10,1
Asansol,Moderate,148,PM2.5,1
Aurangabad,Satisfactory,88,PM10,1
Bagalkot,Satisfactory,61,PM10,1
Bahadurgarh,Very Poor,324,PM2.5,1
Ballabgarh,Poor,282,PM2.5,1
Bathinda,Moderate,181,PM10,1
Bengaluru,Satisfactory,98,"PM10, PM2.5",9
Bettiah,Very Poor,387,PM10,1
Bhagalpur,Poor,270,PM2.5,1
Bhilai,Satisfactory,60,PM10,1
Bhiwadi,Poor,232,PM2.5,1
Bhiwani,Moderate,150,PM10,1
Bhopal,Poor,292,PM2.5,1
Bihar Sharif,Severe,407,PM10,1
Bilaspur,Moderate,104,PM10,1
Bulandshahr,Poor,258,PM2.5,1
Buxar,Severe,427,PM2.5,1
Chamarajanagar,Good,32,PM10,1
Chandigarh,Poor,244,PM2.5,2
Chandrapur,Moderate,153,PM2.5,2
Charkhi Dadri,Very Poor,306,PM2.5,1
Chennai,Satisfactory,81,"PM10, PM2.5",7
Chhapra,Very Poor,381,PM2.5,1
Chikkaballapur,Satisfactory,75,PM2.5,1
Chikkamagaluru,Good,35,PM10,1
Coimbatore,Satisfactory,68,PM2.5,1
Damoh,Very Poor,312,PM2.5,1
Darbhanga,Very Poor,328,PM2.5,1
Davanagere,Good,37,PM10,1
Delhi,Very Poor,346,PM2.5,37
Dewas,Satisfactory,76,PM10,1
Durgapur,Poor,219,PM2.5,1
Eloor,Satisfactory,72,PM10,1
Ernakulam,Good,42,CO,1
Faridabad,Poor,292,"PM10, PM2.5",4
Fatehabad,Very Poor,321,PM2.5,1
Firozabad,Poor,211,PM2.5,1
Gandhinagar,Good,41,"CO, PM2.5",3
Gaya,Poor,220,"PM10, PM2.5",3
Ghaziabad,Very Poor,342,PM2.5,4
Gorakhpur,Moderate,138,PM2.5,1
Greater Noida,Poor,262,PM2.5,2
Gurugram,Poor,296,PM2.5,3
Guwahati,Moderate,170,PM2.5,2
Gwalior,Moderate,151,PM2.5,1
Hajipur,Poor,272,PM2.5,1
Haldia,Moderate,190,PM2.5,1
Hapur,Very Poor,301,PM2.5,1
Hassan,Satisfactory,91,O3,1
Hisar,Very Poor,370,PM2.5,1
Howrah,Poor,254,"PM10, PM2.5",3
Hubballi,Good,35,CO,1
Hyderabad,Moderate,170,PM2.5,5
Indore,Moderate,187,PM2.5,1
Jabalpur,Very Poor,302,PM2.5,1
Jaipur,Satisfactory,94,"PM10, PM2.5",3
Jalandhar,Poor,213,PM2.5,1
Jind,Very Poor,353,PM2.5,1
Jodhpur,Moderate,111,PM2.5,1
Kaithal,Very Poor,302,PM2.5,1
Kalaburgi,Moderate,127,PM2.5,1
Kalyan,Satisfactory,74,PM10,1
Kannur,Good,50,PM10,1
Kanpur,Moderate,189,PM2.5,3
Karnal,Poor,238,PM2.5,1
Katihar,Severe,402,PM10,1
Katni,Poor,297,PM2.5,1
Khanna,Poor,229,PM2.5,1
Kishanganj,Poor,204,PM10,1
Kohima,Satisfactory,85,PM10,1
Kolkata,Poor,202,PM2.5,6
Kollam,Moderate,107,PM10,1
Koppal,Satisfactory,62,O3,1
Kota,Satisfactory,97,PM2.5,1
Kozhikode,Satisfactory,56,PM10,1
Kurukshetra,Very Poor,326,PM2.5,1
Lucknow,Moderate,184,PM2.5,6
Ludhiana,Poor,227,PM2.5,1
Maihar,Poor,209,PM2.5,1
Mandideep,Moderate,115,PM10,1
Mandikhera,Satisfactory,56,CO,1
Manesar,Very Poor,327,PM2.5,1
Manglore,Satisfactory,75,NO2,1
Medikeri,Good,31,O3,1
Meerut,Very Poor,328,PM2.5,2
Moradabad,Poor,299,PM2.5,1
Motihari,Very Poor,332,PM2.5,1
Mumbai,Satisfactory,93,"CO, PM10, PM2.5",18
Muzaffarnagar,Very Poor,334,PM2.5,1
Muzaffarpur,Very Poor,338,"PM10, PM2.5",3
Mysuru,Satisfactory,51,PM10,1
Nagpur,Moderate,108,PM10,1
Nandesari,Satisfactory,90,CO,1
Narnaul,Poor,216,PM2.5,1
Nashik,Moderate,104,PM2.5,1
Navi Mumbai,Satisfactory,94,"PM10, PM2.5",3
Noida,Very Poor,312,PM2.5,3
Pali,Satisfactory,62,PM2.5,1
Palwal,Moderate,142,PM10,1
Panchkula,Poor,256,PM2.5,1
Panipat,Very Poor,311,PM10,1
Patiala,Poor,231,PM2.5,1
Patna,Very Poor,331,"PM10, PM2.5",6
Pithampur,Moderate,138,PM2.5,1
Prayagraj,Poor,221,"PM10, PM2.5",3
Puducherry,Satisfactory,74,PM10,1
Pune,Satisfactory,81,"CO, PM10, PM2.5",5
Purnia,Very Poor,303,PM2.5,1
