city,level,index,pollutant,stations
Agartala,Satisfactory,76,O3,1
Agra,Satisfactory,67,"O3, PM10",5
Ahmedabad,Moderate,103,"PM10, PM2.5",6
Aizawl,Good,48,PM10,1
Ajmer,Moderate,101,PM10,1
Akola,Satisfactory,74,PM10,1
Alwar,Satisfactory,64,PM10,1
Amaravati,Satisfactory,84,PM10,1
Amravati,Satisfactory,96,PM10,2
Amritsar,Satisfactory,87,CO,1
Anantapur,Satisfactory,72,PM2.5,1
Angul,Satisfactory,98,CO,1
Ankleshwar,Satisfactory,63,NO2,1
Araria,Satisfactory,65,PM10,1
Ariyalur,Satisfactory,63,PM10,1
Asansol,Satisfactory,80,"O3, PM10",4
Aurangabad (Bihar),Moderate,120,PM10,1
Aurangabad (Maharashtra),Satisfactory,86,"O3, PM10",2
Baddi,Moderate,115,O3,1
Badlapur,Satisfactory,93,PM10,1
Bagalkot,Good,46,PM10,1
Baghpat,Satisfactory,87,PM10,1
Banswara,Satisfactory,92,PM10,1
Baran,Moderate,125,PM10,1
Barbil,Satisfactory,76,PM10,1
Bareilly,Satisfactory,55,PM10,1
Barmer,Moderate,127,PM10,1
Barrackpore,Satisfactory,66,PM10,1
Bathinda,Good,48,PM10,1
Belapur,Satisfactory,77,PM10,1
Bengaluru,Satisfactory,90,"O3, PM10",11
Bettiah,Satisfactory,96,PM10,1
Bharatpur,Satisfactory,85,O3,1
Bhilai,Satisfactory,63,PM10,3
Bhilwara,Moderate,106,PM10,1
Bhiwadi,Moderate,134,PM10,2
Bhiwandi,Satisfactory,92,PM10,1
Bhopal,Moderate,121,"O3, PM10",3
Bhubaneswar,Satisfactory,86,"CO, PM2.5",2
Bidar,Satisfactory,81,PM10,1
Bilaspur,Satisfactory,66,PM10,1
Boisar,Satisfactory,58,PM10,1
Brajrajnagar,Satisfactory,72,PM10,1
Bulandshahr,Moderate,107,PM10,1
Bundi,Moderate,150,PM10,1
Buxar,Satisfactory,97,CO,1
Byasanagar,Moderate,162,O3,1
Chamarajanagar,Good,47,PM10,1
Chandigarh,Satisfactory,91,O3,3
Chandrapur,Moderate,140,PM10,2
Chengalpattu,Satisfactory,63,PM10,1
Chennai,Satisfactory,59,"PM10, PM2.5",4
Chhal,Satisfactory,80,PM10,1
Chhapra,Satisfactory,77,PM10,1
Chikkaballapur,Good,45,PM2.5,1
Chikkamagaluru,Good,35,PM10,1
Chittorgarh,Satisfactory,94,PM10,1
Churu,Moderate,102,O3,1
Coimbatore,Good,47,PM2.5,2
Cuddalore,Good,43,PM2.5,1
