city,level,index,pollutant,stations
Agartala,Good,50,PM10,1
Agra,Good,45,"PM10, PM2.5",5
Ahmedabad,Satisfactory,60,"PM10, PM2.5",7
Ahmednagar,Good,40,O3,1
Aizawl,Good,29,O3,1
Ajmer,Satisfactory,70,PM2.5,1
Akola,Good,34,PM10,1
Alwar,Satisfactory,60,PM10,1
Amaravati,Good,43,CO,1
Ambala,Good,47,CO,1
Amravati,Good,42,PM10,2
Amritsar,Moderate,117,PM10,1
Angul,Good,47,PM10,1
Ankleshwar,Satisfactory,58,PM2.5,1
Ariyalur,Good,23,PM10,1
Asansol,Good,39,PM10,4
Aurangabad (Bihar),Good,35,CO,1
Aurangabad (Maharashtra),Good,42,"CO, PM10",3
Baddi,Moderate,155,PM2.5,1
Bagalkot,Satisfactory,56,PM10,1
Baghpat,Satisfactory,59,CO,1
Bahadurgarh,Satisfactory,74,PM10,1
Balasore,Good,31,O3,1
Ballabgarh,Moderate,127,PM10,1
Banswara,Good,44,O3,1
Baran,Satisfactory,55,O3,1
Barbil,Good,35,O3,1
Bareilly,Good,35,"SO2, PM10",2
Baripada,Good,32,O3,1
Barmer,Satisfactory,73,PM10,1
Barrackpore,Good,44,PM2.5,1
Begusarai,Good,40,CO,1
Belapur,Good,41,O3,1
Belgaum,Good,37,CO,1
Bengaluru,Satisfactory,54,"CO, PM10, PM2.5",13
Bettiah,Satisfactory,69,CO,1
Bhagalpur,Good,33,SO2,1
Bharatpur,Good,32,O3,1
Bhilai,Good,33,"CO, PM10",3
Bhilwara,Satisfactory,93,PM2.5,1
Bhiwadi,Satisfactory,72,PM10,2
Bhiwandi,Good,42,PM10,1
Bhiwani,Satisfactory,96,PM2.5,1
Bhopal,Satisfactory,57,PM10,3
Bhubaneswar,Good,33,O3,2
Bidar,Good,36,PM10,1
Bikaner,Moderate,114,PM10,1
Bilaspur,Good,43,CO,1
Bileipada,Good,29,PM2.5,1
Boisar,Good,50,PM2.5,1
Brajrajnagar,Good,41,CO,1
Bulandshahr,Good,38,PM10,1
Bundi,Satisfactory,71,PM10,1
Byasanagar,Good,34,O3,1
Byrnihat,Satisfactory,70,PM2.5,1
Chamarajanagar,Good,39,PM10,1
Chandigarh,Satisfactory,56,PM10,2
Chandrapur,Good,37,PM10,1
Charkhi Dadri,Satisfactory,80,PM2.5,1
Chengalpattu,Good,50,PM10,1
Chennai,Satisfactory,56,"CO, PM10",8
Chhal,Good,24,CO,1
Chhapra,Good,33,PM10,1
Chittorgarh,Moderate,144,PM10,1
Churu,Moderate,108,PM10,1
Coimbatore,Satisfactory,58,PM10,2
Cuddalore,Good,31,PM10,1
Cuttack,Good,26,O3,1
Damoh,Satisfactory,62,SO2,1
Dausa,Satisfactory,75,PM10,1
Davanagere,Good,21,O3,1
Delhi,Satisfactory,97,"O3, PM10, PM2.5",38
Dharuhera,Good,47,O3,1
Dholpur,Good,38,PM2.5,1
Dindigul,Good,32,PM10,1
Dungarpur,Satisfactory,58,PM2.5,1
Durgapur,Satisfactory,73,"O3, PM10",3
Eloor,Satisfactory,79,CO,1
Faridabad,Satisfactory,75,PM2.5,2
Firozabad,Good,30,"PM10, PM2.5",2
Gadag,Good,26,PM10,1
Gandhinagar,Good,47,PM10,1
Gangtok,Good,14,O3,1
Gaya,Good,49,"O3, CO",2
Ghaziabad,Satisfactory,82,PM10,4
Gorakhpur,Good,45,PM10,1
Greater Noida,Satisfactory,89,PM10,2
Gummidipoondi,Satisfactory,68,PM10,1
Gurugram,Satisfactory,91,"CO, PM2.5",3
Guwahati,Good,36,"PM10, PM2.5",4
Gwalior,Good,45,"O3, NO2, PM10",3
Hajipur,Good,24,O3,1
Haldia,Good,28,CO,1
Hanumangarh,Moderate,195,PM2.5,1
Hapur,Good,41,CO,1
Hassan,Good,28,CO,1
Haveri,Good,42,CO,1
Hisar,Moderate,102,PM2.5,1
Howrah,Good,34,"CO, NO2, PM2.5",4
Hubballi,Good,37,PM10,1
Hyderabad,Satisfactory,56,"O3, PM10",12
Imphal,Poor,204,"SO2, PM2.5",2
Indore,Satisfactory,52,"NO2, PM10, PM2.5",5
Jabalpur,Satisfactory,60,"O3, CO, PM10",4
Jaipur,Satisfactory,81,"O3, PM10, PM2.5",6
Jaisalmer,Moderate,103,PM10,1
Jalandhar,Satisfactory,68,PM10,1
Jalgaon,Good,33,PM10,1
Jalna,Good,42,PM2.5,1
Jalore,Moderate,108,PM10,1
Jhalawar,Satisfactory,63,PM10,1
Jhansi,Good,27,SO2,1
Jhunjhunu,Satisfactory,98,PM10,1
Jind,Moderate,121,CO,1
Jodhpur,Satisfactory,91,PM10,5
Kadapa,Good,50,PM10,1
Kaithal,Satisfactory,84,PM2.5,1
Kalaburagi,Good,32,"CO, SO2",2
Kalyan,Good,15,PM10,1
Kanchipuram,Good,47,PM10,1
Kanpur,Satisfactory,55,"NO2, PM10",2
Karauli,Good,44,PM10,1
Karnal,Satisfactory,53,PM2.5,1
Kashipur,Good,40,PM10,1
Katni,Good,34,NO2,1
Keonjhar,Satisfactory,52,O3,1
Khanna,Satisfactory,65,PM2.5,1
Khurja,Satisfactory,65,PM10,1
Kohima,Satisfactory,51,SO2,1
Kolar,Satisfactory,69,PM2.5,1
Kolhapur,Good,36,"O3, PM10",2
Kolkata,Good,36,"O3, CO, NO2",7
Kollam,Satisfactory,55,PM10,1
Koppal,Good,39,CO,1
Korba,Good,47,PM10,1
Kota,Satisfactory,69,PM10,3
Kurukshetra,Satisfactory,54,PM2.5,1
Latur,Good,33,PM10,1
Lucknow,Satisfactory,58,PM10,6
Ludhiana,Moderate,128,PM2.5,1
Madikeri,Good,23,PM10,1
Mahad,Good,38,PM10,1
Malegaon,Satisfactory,51,PM10,1
Mandi Gobindgarh,Satisfactory,85,CO,1
Mandideep,Satisfactory,83,PM10,1
Mandikhera,Satisfactory,69,PM2.5,1
Manesar,Good,49,PM2.5,1
Mangalore,Good,32,PM10,1
Manguraha,Satisfactory,53,PM10,1
Meerut,Good,46,"CO, PM10",3
Mira-Bhayandar,Good,34,PM10,1
Moradabad,Good,46,"SO2, PM10, PM2.5",6
Motihari,Good,41,CO,1
Mumbai,Good,38,"CO, PM10",20
Munger,Good,48,CO,1
Muzaffarnagar,Satisfactory,64,PM10,1
Muzaffarpur,Good,30,"O3, SO2",3
Mysuru,Good,32,O3,1
Nagaon,Satisfactory,71,CO,1
Nagaur,Satisfactory,74,O3,1
Nagpur,Satisfactory,69,PM10,4
Naharlagun,Good,31,PM10,1
Nalbari,Satisfactory,62,PM2.5,1
Nanded,Good,33,O3,1
Nandesari,Moderate,196,PM2.5,1
Narnaul,Satisfactory,68,PM2.5,1
Nashik,Good,40,"O3, CO, PM10",4
Navi Mumbai,Satisfactory,51,"O3, CO, NO2",5
Nayagarh,Good,25,PM10,1
Noida,Satisfactory,84,"CO, PM10",4
Ooty,Good,45,PM10,1
Pali,Moderate,118,PM10,1
Palkalaiperur,Good,19,PM10,1
Palwal,Satisfactory,79,PM10,1
Panchkula,Moderate,107,PM2.5,1
Panipat,Satisfactory,83,PM2.5,1
Parbhani,Good,34,PM2.5,1
Patiala,Satisfactory,61,PM10,1
Patna,Satisfactory,52,"CO, PM10",6
Pimpri-Chinchwad,Good,34,"CO, PM10",4
Pithampur,Satisfactory,96,PM10,1
Pratapgarh,Satisfactory,61,PM10,1
Prayagraj,Good,28,"SO2, PM10",3
Puducherry,Good,43,O3,1
Pune,Satisfactory,52,CO,8
Purnia,Good,44,CO,1
Raipur,Good,50,PM10,4
Rairangpur,Good,49,PM10,1
Rajamahendravaram,Good,34,CO,1
Rajgir,Good,38,CO,1
Rajsamand,Satisfactory,63,PM2.5,1
Ramanagara,Good,30,SO2,1
Ramanathapuram,Good,23,PM10,1
Ratlam,Satisfactory,59,PM10,1
Rohtak,Satisfactory,66,PM2.5,1
Rourkela,Good,42,"CO, PM10",3
Rupnagar,Good,50,PM10,1
Sagar,Satisfactory,58,"O3, PM10",2
Saharsa,Good,47,CO,1
Salem,Good,38,PM10,1
Sangli,Good,31,O3,1
Sasaram,Satisfactory,57,CO,1
Satna,Satisfactory,68,PM10,1
Sawai Madhopur,Satisfactory,66,O3,1
Sikar,Satisfactory,76,PM10,1
Silchar,Good,43,PM10,1
Siliguri,Good,30,PM10,1
Singrauli,Good,42,O3,1
Sirohi,Satisfactory,64,PM10,1
Sirsa,Satisfactory,98,O3,1
Sivasagar,Good,34,PM10,1
Solapur,Good,42,"PM10, PM2.5",3
Sri Ganganagar,Moderate,184,PM2.5,1
Suakati,Good,45,O3,1
Tensa,Good,42,NO2,1
Thane,Satisfactory,62,"CO, PM10",3
Thiruvananthapuram,Good,46,"NO2, PM10",2
Thoothukudi,Satisfactory,70,PM10,1
Thrissur,Good,48,PM10,1
Tirunelveli,Good,32,PM10,1
Tirupati,Good,23,CO,1
Tirupur,Good,43,PM10,1
Tonk,Satisfactory,70,PM10,1
Tumakuru,Good,41,PM10,1
Udaipur,Satisfactory,85,PM10,1
Udupi,Good,32,CO,1
Ujjain,Satisfactory,73,PM10,1
Ulhasnagar,Good,46,PM2.5,1
Vapi,Good,36,PM2.5,1
Varanasi,Good,34,"SO2, PM10",3
Vatva,Good,46,PM10,1
Vijayapura,Good,39,PM10,1
Vijayawada,Good,50,"PM10, PM2.5",2
Virar,Good,30,PM2.5,1
Virudhunagar,Good,19,PM10,1
Visakhapatnam,Satisfactory,68,PM2.5,1
Vrindavan,Good,50,PM10,1
Yadgir,Good,30,PM2.5,1
Yamuna Nagar,Satisfactory,55,PM2.5,1
