city,level,index,pollutant,stations
Agartala,Satisfactory,94,PM2.5,1
Agra,Moderate,114,PM10,6
Ahmedabad,Moderate,131,PM10,8
Ahmednagar,Satisfactory,90,O3,1
Ajmer,Satisfactory,82,PM10,1
Akola,Satisfactory,60,PM10,1
Alwar,Satisfactory,95,PM10,1
Amaravati,Good,48,PM10,1
Ambala,Satisfactory,85,PM10,1
Amravati,Satisfactory,62,O3,2
Amritsar,Good,37,O3,1
Anantapur,Satisfactory,78,PM10,1
Angul,Poor,292,O3,1
Arrah,Satisfactory,58,CO,1
Asansol,Satisfactory,51,"CO, PM10, PM2.5",4
Aurangabad (Bihar),Moderate,102,CO,1
Aurangabad (Maharashtra),Satisfactory,75,O3,2
Baddi,Moderate,173,PM10,1
Badlapur,Moderate,105,PM10,1
Bagalkot,Good,46,PM10,1
Baghpat,Satisfactory,77,PM2.5,1
Bahadurgarh,Moderate,109,PM2.5,1
Balasore,Satisfactory,92,O3,1
Ballabgarh,Poor,217,PM10,1
Banswara,Satisfactory,86,O3,1
Baran,Moderate,154,O3,1
Barbil,Moderate,157,O3,1
Bareilly,Satisfactory,56,"SO2, PM10",2
Baripada,Satisfactory,58,O3,1
Barmer,Satisfactory,62,PM10,1
Barrackpore,Good,43,PM2.5,1
Bathinda,Satisfactory,77,CO,1
Begusarai,Satisfactory,75,PM10,1
Bengaluru,Satisfactory,88,"PM10, PM2.5",6
Bettiah,Good,27,O3,1
Bhagalpur,Good,31,PM2.5,1
Bharatpur,Moderate,102,O3,1
Bhavnagar,Moderate,131,PM2.5,1
Bhilai,Good,34,"CO, NO2, SO2",3
Bhilwara,Satisfactory,78,PM10,1
Bhiwadi,Moderate,126,PM10,2
Bhiwandi,Satisfactory,80,PM10,1
Bhiwani,Satisfactory,52,PM2.5,1
Bhopal,Moderate,105,"O3, PM10",3
Bhubaneswar,Satisfactory,84,O3,2
Bihar Sharif,Satisfactory,58,CO,1
Bikaner,Moderate,109,O3,1
Bilaspur,Good,36,PM10,1
Boisar,Moderate,101,O3,1
Brajrajnagar,Satisfactory,69,CO,1
Bulandshahr,Moderate,148,PM10,1
Bundi,Satisfactory,99,O3,1
Chamarajanagar,Good,30,PM2.5,1
Chandigarh,Satisfactory,54,"O3, PM2.5",3
Chandrapur,Satisfactory,84,PM10,2
Charkhi Dadri,Moderate,167,PM2.5,1
Chennai,Good,39,"O3, PM10",6
Chhal,Good,30,PM2.5,1
Chittorgarh,Satisfactory,89,O3,1
Churu,Satisfactory,91,PM10,1
Coimbatore,Good,42,PM2.5,1
Cuttack,Poor,226,O3,1
Dausa,Satisfactory,94,PM10,1
Dehradun,Good,48,O3,1
Delhi,Moderate,153,"O3, PM10, PM2.5",44
Dewas,Satisfactory,87,CO,1
Dhanbad,Satisfactory,95,NO2,1
Dharuhera,Moderate,150,PM2.5,1
Dharwad,Satisfactory,86,PM10,1
Dholpur,Moderate,110,PM10,1
Dhule,Satisfactory,84,PM10,1
Dungarpur,Satisfactory,68,PM10,1
Durgapur,Satisfactory,61,"CO, PM10",3
Eluru,Good,49,PM2.5,1
Faridabad,Moderate,188,"PM10, PM2.5",3
Fatehabad,Satisfactory,93,O3,1
Firozabad,Satisfactory,92,PM10,2
Gandhinagar,Moderate,122,"PM10, PM2.5",3
Gaya,Satisfactory,71,"O3, PM10, PM2.5",3
Ghaziabad,Moderate,162,"PM10, PM2.5",4
Gorakhpur,Satisfactory,64,PM10,1
Greater Noida,Poor,240,PM10,2
Gummidipoondi,Satisfactory,85,PM2.5,1
Guntur,Satisfactory,55,PM10,1
Gurugram,Moderate,188,PM2.5,4
Guwahati,Good,48,PM2.5,4
Gwalior,Moderate,200,"O3, PM10",3
Hajipur,Satisfactory,87,PM2.5,1
Haldia,Good,38,CO,1
Hanumangarh,Satisfactory,65,O3,1
Hapur,Satisfactory,91,PM2.5,1
Hisar,Satisfactory,91,O3,1
Howrah,Satisfactory,68,"O3, PM10",5
Hubballi,Satisfactory,67,PM10,1
Hyderabad,Satisfactory,72,"O3, PM10",11
Indore,Satisfactory,79,"NO2, SO2, PM2.5",5
Jabalpur,Satisfactory,62,"O3, PM10",3
Jaipur,Satisfactory,90,"NO2, PM10",6
Jaisalmer,Satisfactory,96,CO,1
Jalandhar,Satisfactory,67,PM10,1
Jalgaon,Satisfactory,87,PM10,1
Jalna,Satisfactory,56,O3,1
Jalore,Satisfactory,81,PM10,1
Jhalawar,Moderate,113,O3,1
Jhansi,Good,34,PM2.5,1
Jhunjhunu,Satisfactory,94,O3,1
Jind,Satisfactory,73,CO,1
Jodhpur,Satisfactory,78,O3,5
Kadapa,Satisfactory,74,PM2.5,1
Kaithal,Satisfactory,68,PM10,1
Kalaburagi,Good,50,PM10,1
Kalyan,Satisfactory,98,PM10,1
Kannur,Satisfactory,90,PM10,1
Kanpur,Satisfactory,66,"CO, PM10",3
Karauli,Satisfactory,87,O3,1
Karnal,Satisfactory,68,PM2.5,1
Katihar,Satisfactory,74,CO,1
Katni,Moderate,106,PM10,1
Keonjhar,Good,49,PM10,1
Khanna,Satisfactory,53,PM2.5,1
Khurja,Satisfactory,86,PM10,1
Kishanganj,Good,33,O3,1
Kohima,Good,19,SO2,1
Kolhapur,Satisfactory,57,PM10,2
Kolkata,Satisfactory,54,"O3, NO2, PM10",6
Koppal,Good,37,PM10,1
Korba,Good,39,"SO2, PM2.5",2
Kota,Moderate,111,"O3, PM10",3
Kunjemura,Satisfactory,70,PM10,1
Kurukshetra,Satisfactory,89,PM10,1
Latur,Satisfactory,72,PM10,1
Lucknow,Satisfactory,72,PM10,6
Ludhiana,Satisfactory,79,PM10,1
Machilipatnam,Satisfactory,85,PM2.5,1
Madikeri,Good,48,PM2.5,1
Mahad,Moderate,162,PM2.5,1
Malegaon,Satisfactory,100,O3,1
Mandi Gobindgarh,Satisfactory,55,CO,1
Mandideep,Moderate,110,PM2.5,1
Mandikhera,Satisfactory,69,CO,1
Manesar,Moderate,129,PM2.5,1
Mangalore,Satisfactory,63,O3,1
Manguraha,Satisfactory,95,NO2,1
Meerut,Satisfactory,99,PM10,3
Mehsana,Moderate,108,PM10,1
Moradabad,Satisfactory,66,"SO2, PM10",5
Mumbai,Satisfactory,84,"O3, PM10",21
Munger,Good,28,CO,1
Muzaffarnagar,Satisfactory,95,PM10,1
Muzaffarpur,Satisfactory,54,"O3, PM10, PM2.5",3
Mysuru,Satisfactory,60,PM10,1
Nagaon,Moderate,105,PM10,1
Nagaur,Satisfactory,78,PM10,1
Nagpur,Satisfactory,61,"O3, PM10",4
Naharlagun,Good,44,PM10,1
Nalbari,Satisfactory,69,PM2.5,1
Nanded,Satisfactory,83,O3,1
Nandesari,Moderate,141,PM2.5,1
Narnaul,Satisfactory,90,PM2.5,1
Nashik,Satisfactory,91,PM10,4
Navi Mumbai,Moderate,126,"O3, PM10",6
Nayagarh,Good,44,PM10,1
Nellore,Good,43,PM10,1
Noida,Moderate,142,"PM10, PM2.5",4
Pali,Poor,278,O3,1
Palwal,Satisfactory,86,PM10,1
Pampore,Good,27,NO2,1
Panchgaon,Satisfactory,62,PM2.5,1
Panipat,Satisfactory,88,PM10,1
Parbhani,Satisfactory,71,PM10,1
Patiala,Satisfactory,57,PM10,1
Patna,Satisfactory,70,"CO, PM10, PM2.5",5
Perundurai,Good,48,CO,1
Pimpri-Chinchwad,Moderate,111,PM10,3
Pithampur,Moderate,115,O3,1
Pratapgarh,Moderate,110,O3,1
Prayagraj,Good,48,"SO2, PM10",3
Puducherry,Good,28,O3,1
Pune,Moderate,105,"PM10, PM2.5",8
Raipur,Satisfactory,53,PM10,4
Rairangpur,Good,37,PM10,1
Rajamahendravaram,Satisfactory,58,PM10,1
Rajgir,Good,45,PM2.5,1
Rajkot,Satisfactory,84,PM10,1
Rajsamand,Satisfactory,94,O3,1
Ramanagara,Good,50,PM10,1
Ratlam,Satisfactory,71,PM10,1
Rishikesh,Good,37,CO,1
Rohtak,Moderate,114,PM2.5,1
Rourkela,Satisfactory,65,"CO, PM10, PM2.5",3
Sagar,Satisfactory,93,"O3, PM10",2
Sasaram,Satisfactory,58,CO,1
Satna,Satisfactory,71,PM10,1
Sawai Madhopur,Moderate,160,O3,1
Shillong,Good,29,O3,1
Shivamogga,Satisfactory,77,O3,1
Sikar,Satisfactory,99,O3,1
Silchar,Good,40,PM10,1
Siliguri,Satisfactory,52,O3,1
Singrauli,Moderate,122,NO2,1
Sirohi,Satisfactory,63,O3,1
Sivasagar,Satisfactory,58,O3,1
Siwan,Satisfactory,67,CO,1
Solapur,Satisfactory,88,PM10,2
Sonipat,Moderate,157,PM2.5,1
Sri Ganganagar,Moderate,105,O3,1
Srinagar,Good,32,PM10,2
Surat,Satisfactory,96,"CO, PM10",2
Talcher,Satisfactory,70,PM2.5,1
Tensa,Good,42,PM10,1
Thane,Satisfactory,87,PM10,2
Thiruvananthapuram,Satisfactory,62,"CO, PM10",2
Thoothukudi,Satisfactory,51,PM10,1
Thrissur,Satisfactory,72,PM10,1
Tirumala,Good,46,NO2,1
Tirupati,Satisfactory,52,PM2.5,1
Tonk,Moderate,123,PM10,1
Udaipur,Satisfactory,90,PM10,1
Udupi,Satisfactory,55,PM10,1
Ujjain,Satisfactory,66,PM10,1
Ulhasnagar,Moderate,108,"O3, PM10",2
Vadodara,Moderate,141,PM2.5,1
Vapi,Satisfactory,77,PM10,1
Varanasi,Good,35,"SO2, PM10",4
Vatva,Moderate,135,PM2.5,1
Vijayawada,Satisfactory,70,PM2.5,3
Visakhapatnam,Satisfactory,86,PM10,1
Vrindavan,Satisfactory,83,PM10,1
Yadgir,Satisfactory,80,PM10,1
Yamuna Nagar,Satisfactory,78,PM10,1
