city,level,index,pollutant,stations
Agartala,Moderate,112,PM10,1
Agra,Satisfactory,66,PM10,6
Ahmedabad,Moderate,128,PM2.5,7
Ahmednagar,Moderate,129,PM10,1
Aizawl,Satisfactory,95,PM10,1
Ajmer,Moderate,157,O3,1
Akola,Satisfactory,95,PM10,1
Alwar,Satisfactory,98,PM10,1
Amaravati,Good,30,PM10,1
Ambala,Satisfactory,53,PM10,1
Amravati,Satisfactory,96,PM10,2
Amritsar,Satisfactory,72,PM2.5,1
Anantapur,Moderate,131,PM10,1
Angul,Moderate,179,PM2.5,1
Araria,Moderate,136,PM10,1
Ariyalur,Good,28,SO2,1
Arrah,Moderate,126,PM10,1
Asansol,Poor,286,PM2.5,1
Aurangabad (Maharashtra),Moderate,110,"O3, PM10",3
Baddi,Moderate,165,O3,1
Badlapur,Moderate,197,O3,1
Bagalkot,Good,50,PM10,1
Baghpat,Moderate,147,PM10,1
Bahadurgarh,Moderate,143,PM10,1
Balasore,Moderate,165,O3,1
Ballabgarh,Moderate,185,PM10,1
Banswara,Moderate,141,PM10,1
Baran,Moderate,137,PM10,1
Barbil,Moderate,189,O3,1
Bareilly,Satisfactory,62,"SO2, PM10",2
Barmer,Moderate,124,PM10,1
Barrackpore,Moderate,121,PM10,1
Bathinda,Satisfactory,78,PM10,1
Belapur,Moderate,160,PM2.5,1
Belgaum,Satisfactory,66,PM10,1
Bengaluru,Satisfactory,74,PM10,11
Bettiah,Moderate,188,PM2.5,1
Bhagalpur,Moderate,174,PM10,1
Bharatpur,Moderate,188,PM2.5,1
Bhilai,Satisfactory,80,"O3, PM10",3
Bhiwadi,Moderate,176,PM10,2
Bhiwandi,Moderate,116,PM10,1
Bhiwani,Satisfactory,94,PM10,1
Bhopal,Moderate,105,PM10,2
Bhubaneswar,Moderate,160,"O3, PM2.5",2
Bidar,Satisfactory,75,CO,1
Bihar Sharif,Satisfactory,90,PM10,1
Bikaner,Poor,240,PM10,1
Bilaspur,Satisfactory,59,PM2.5,1
Bileipada,Moderate,190,PM10,1
Boisar,Moderate,131,PM10,1
Bulandshahr,Moderate,167,PM10,1
Bundi,Moderate,177,PM10,1
Byasanagar,Moderate,172,O3,1
Byrnihat,Moderate,155,PM2.5,1
Chamarajanagar,Good,50,PM10,1
Chandigarh,Moderate,103,PM10,3
Chandrapur,Satisfactory,93,PM10,1
Charkhi Dadri,Moderate,147,PM2.5,1
Chennai,Satisfactory,55,CO,7
Chhal,Satisfactory,99,PM2.5,1
Chhapra,Moderate,138,PM2.5,1
Chikkaballapur,Satisfactory,63,PM10,1
Chikkamagaluru,Satisfactory,68,PM10,1
Chittorgarh,Moderate,160,PM10,1
Cuddalore,Satisfactory,69,PM10,1
Cuttack,Moderate,136,O3,1
Dausa,Moderate,186,PM10,1
Dehradun,Satisfactory,94,PM10,1
Delhi,Moderate,187,"NO2, PM10, PM2.5",37
Dewas,Good,47,PM10,1
Dhanbad,Moderate,131,CO,1
Dharwad,Moderate,112,PM10,1
Dholpur,Moderate,173,PM10,1
Dhule,Moderate,119,PM10,1
Dungarpur,Moderate,113,PM10,1
Durgapur,Poor,210,PM2.5,2
Eloor,Satisfactory,72,CO,1
Faridabad,Poor,228,"PM10, PM2.5",2
Fatehabad,Satisfactory,75,PM10,1
Gadag,Satisfactory,66,O3,1
Gandhinagar,Satisfactory,62,PM10,1
Gangtok,Satisfactory,93,O3,1
Gaya,Moderate,115,"PM10, PM2.5",3
Ghaziabad,Moderate,173,"O3, PM10",4
Gorakhpur,Poor,204,PM10,1
Greater Noida,Poor,208,PM10,2
Gummidipoondi,Satisfactory,71,PM10,1
Gurugram,Poor,228,"PM10, PM2.5",3
Guwahati,Satisfactory,82,"PM10, PM2.5",4
Gwalior,Moderate,128,"O3, PM10, PM2.5",3
Hajipur,Poor,295,PM10,1
Haldia,Satisfactory,51,PM10,1
Hanumangarh,Moderate,128,PM10,1
Hapur,Moderate,140,PM10,1
Hassan,Satisfactory,86,PM10,1
Haveri,Satisfactory,69,PM10,1
Hisar,Moderate,155,O3,1
Howrah,Moderate,119,"PM10, PM2.5",3
Hubballi,Satisfactory,62,PM10,1
Hyderabad,Satisfactory,73,PM10,11
Imphal,Satisfactory,99,SO2,2
Indore,Satisfactory,78,"SO2, PM10",3
Jabalpur,Moderate,118,"O3, PM10",4
Jaipur,Moderate,189,PM10,6
Jaisalmer,Moderate,145,PM10,1
Jalandhar,Satisfactory,51,PM10,1
Jalgaon,Moderate,114,PM10,1
Jalna,Satisfactory,59,O3,1
Jalore,Moderate,156,PM10,1
Jhalawar,Moderate,137,PM10,1
Jhansi,Good,50,O3,1
Jhunjhunu,Moderate,164,PM10,1
Jind,Satisfactory,82,PM10,1
Jodhpur,Moderate,190,PM10,5
Kadapa,Satisfactory,53,O3,1
Kaithal,Satisfactory,94,PM10,1
Kalaburagi,Satisfactory,59,"O3, PM10",2
Kalyan,Moderate,143,PM10,1
Kannur,Satisfactory,77,PM10,1
Kanpur,Moderate,171,"O3, PM10",3
Karauli,Moderate,128,PM10,1
Karnal,Moderate,113,PM2.5,1
Karwar,Satisfactory,75,PM10,1
