city,level,index,pollutant,stations
Agartala,Satisfactory,61,PM10,1
Agra,Moderate,177,PM2.5,1
Ahmedabad,Moderate,132,PM10,1
Aizawl,Satisfactory,62,PM10,1
Ajmer,Moderate,111,PM10,1
Alwar,Satisfactory,84,PM10,1
Amaravati,Good,45,O3,1
Ambala,Moderate,116,PM10,1
Amritsar,Satisfactory,89,PM10,1
Ankleshwar,Moderate,104,PM10,1
Asansol,Moderate,127,PM10,1
Bagalkot,Satisfactory,60,PM2.5,1
Baghpat,Very Poor,396,PM10,1
Bahadurgarh,Poor,217,PM2.5,1
Ballabgarh,Moderate,169,PM2.5,1
Bathinda,Moderate,111,PM10,1
Bengaluru,Satisfactory,64,"O3, PM10, PM2.5",8
Bhiwadi,Poor,299,PM10,1
Bhiwani,Moderate,169,PM10,1
Bhopal,Moderate,114,O3,1
Bulandshahr,Very Poor,303,PM10,1
Chamarajanagar,Satisfactory,56,PM10,1
Chandigarh,Moderate,117,PM10,1
Chandrapur,Satisfactory,84,PM10,2
Charkhi Dadri,Moderate,184,PM10,1
Chennai,Satisfactory,51,"O3, CO, PM10",7
Chikkaballapur,Good,49,PM10,1
Chikkamagaluru,Good,49,O3,1
Damoh,Satisfactory,51,PM2.5,1
Delhi,Poor,238,"PM10, PM2.5",8
Dewas,Moderate,119,PM10,1
Dharuhera,Poor,290,PM10,1
Durgapur,Poor,219,PM2.5,1
Eloor,Good,46,CO,1
Faridabad,Poor,254,"O3, PM10, PM2.5",4
Fatehabad,Poor,204,PM10,1
Gadag,Satisfactory,61,SO2,1
Gandhinagar,Satisfactory,66,PM10,1
Gaya,Moderate,158,"O3, PM2.5",2
Ghaziabad,Very Poor,308,PM10,4
Greater Noida,Poor,282,PM10,1
Gummidipoondi,Good,29,PM2.5,1
Gurugram,Poor,250,"PM10, PM2.5",3
Guwahati,Moderate,150,PM2.5,2
Gwalior,Moderate,117,PM10,1
Hajipur,Poor,268,PM10,1
Haldia,Satisfactory,74,PM10,1
Hapur,Poor,207,PM10,1
Hassan,Satisfactory,77,PM10,1
Hisar,Poor,206,PM10,1
Howrah,Satisfactory,95,PM10,3
Hubballi,Satisfactory,81,PM10,1
Hyderabad,Satisfactory,76,"PM10, PM2.5",5
Indore,Moderate,126,PM10,1
Jabalpur,Moderate,107,PM10,1
Jaipur,Moderate,135,PM10,3
Jalandhar,Satisfactory,53,PM10,1
Jind,Poor,229,PM2.5,1
Jodhpur,Moderate,183,PM2.5,1
Jorapokhar,Moderate,152,PM10,1
Kaithal,Moderate,164,PM10,1
Kalyan,Moderate,112,PM10,1
Kannur,Satisfactory,66,PM2.5,1
Kanpur,Moderate,161,PM2.5,2
Karnal,Moderate,137,PM10,1
Katni,Moderate,150,PM10,1
Khanna,Satisfactory,96,PM10,1
Kochi,Satisfactory,75,PM10,1
Kohima,Moderate,102,PM10,1
Kolar,Satisfactory,65,O3,1
Kolkata,Satisfactory,96,"O3, PM10, PM2.5",7
Kollam,Satisfactory,76,PM2.5,1
Koppal,Satisfactory,58,O3,1
Kota,Moderate,124,PM10,1
Kozhikode,Satisfactory,60,CO,1
Kurukshetra,Moderate,178,PM10,1
Lucknow,Poor,218,PM2.5,4
Ludhiana,Moderate,106,PM2.5,1
Mandideep,Good,50,PM10,1
Mandikhera,Moderate,101,CO,1
Manesar,Poor,277,PM2.5,1
Manglore,Good,40,PM10,1
Medikeri,Good,42,O3,1
Meerut,Poor,249,"PM10, PM2.5",3
Moradabad,Poor,218,PM2.5,1
Mumbai,Satisfactory,79,"PM10, PM2.5",19
Muzaffarpur,Moderate,163,PM2.5,1
Mysuru,Satisfactory,84,O3,1
Nagpur,Satisfactory,72,PM10,1
Naharlagun,Satisfactory,76,PM10,1
Narnaul,Poor,227,PM10,1
Navi Mumbai,Moderate,102,"PM10, PM2.5",2
Noida,Poor,249,PM10,3
Pali,Moderate,145,PM10,1
Palwal,Moderate,145,PM10,1
Panchkula,Satisfactory,71,PM2.5,1
Panipat,Poor,271,PM10,1
Patiala,Moderate,120,PM10,1
Patna,Poor,221,"O3, PM10, PM2.5",6
Pithampur,Satisfactory,86,PM10,1
Puducherry,Good,45,O3,1
Pune,Satisfactory,82,"PM10, PM2.5",4
Rajamahendravaram,Satisfactory,52,CO,1
Ramanagara,Satisfactory,79,O3,1
Ratlam,Moderate,110,PM10,1
Rohtak,Moderate,122,PM2.5,1
Rupnagar,Good,50,PM10,1
Sagar,Satisfactory,78,PM2.5,1
Shivamogga,Satisfactory,62,O3,1
Siliguri,Satisfactory,99,PM2.5,1
Singrauli,Poor,202,PM10,1
Sirsa,Moderate,108,PM10,1
Sonipat,Severe,421,PM10,1
Srinagar,Good,36,NO2,1
Talcher,Moderate,175,NO2,1
Thane,Satisfactory,100,PM10,1
Thiruvananthapuram,Good,50,O3,1
Thoothukudi,Satisfactory,54,PM10,1
Thrissur,Satisfactory,54,O3,1
Tirupati,Good,47,O3,1
Udaipur,Satisfactory,90,PM10,1
Udupi,Poor,273,O3,1
Ujjain,Moderate,151,PM2.5,1
Vapi,Satisfactory,90,PM10,1
Varanasi,Poor,213,PM10,1
Vijayapura,Satisfactory,51,PM10,1
Visakhapatnam,Satisfactory,75,PM10,1
Yadgir,Moderate,162,O3,1
Yamunanagar,Poor,235,PM2.5,1
